timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,89.36
2016-01-01 01:00:00,2016-01-01 01:00:00,89.37
2016-01-01 02:00:00,2016-01-01 02:00:00,89.39
2016-01-01 03:00:00,2016-01-01 03:00:00,89.45
2016-01-01 04:00:00,2016-01-01 04:00:00,89.24
2016-01-01 05:00:00,2016-01-01 05:00:00,89.17
2016-01-01 06:00:00,2016-01-01 06:00:00,88.97
2016-01-01 07:00:00,2016-01-01 07:00:00,88.27
2016-01-01 08:00:00,2016-01-01 08:00:00,88.11
2016-01-01 09:00:00,2016-01-01 09:00:00,88.17
2016-01-01 10:00:00,2016-01-01 10:00:00,88.08
2016-01-01 11:00:00,2016-01-01 11:00:00,88.03
2016-01-01 12:00:00,2016-01-01 12:00:00,88.06
2016-01-01 13:00:00,2016-01-01 13:00:00,88.15
2016-01-01 14:00:00,2016-01-01 14:00:00,88.19
2016-01-01 15:00:00,2016-01-01 15:00:00,88.16
2016-01-01 16:00:00,2016-01-01 16:00:00,88.12
2016-01-01 17:00:00,2016-01-01 17:00:00,151.37
2016-01-01 18:00:00,2016-01-01 18:00:00,153.1
2016-01-01 19:00:00,2016-01-01 19:00:00,153.2
2016-01-01 20:00:00,2016-01-01 20:00:00,153.09
2016-01-01 21:00:00,2016-01-01 21:00:00,153.11
2016-01-01 22:00:00,2016-01-01 22:00:00,153.3
2016-01-01 23:00:00,2016-01-01 23:00:00,88.84
2016-01-02 00:00:00,2016-01-02 00:00:00,88.53
2016-01-02 01:00:00,2016-01-02 01:00:00,88.54
2016-01-02 02:00:00,2016-01-02 02:00:00,88.55
2016-01-02 03:00:00,2016-01-02 03:00:00,88.6
2016-01-02 04:00:00,2016-01-02 04:00:00,88.61
2016-01-02 05:00:00,2016-01-02 05:00:00,88.57
2016-01-02 06:00:00,2016-01-02 06:00:00,88.42
2016-01-02 07:00:00,2016-01-02 07:00:00,88.29
2016-01-02 08:00:00,2016-01-02 08:00:00,88.51
2016-01-02 09:00:00,2016-01-02 09:00:00,88.33
2016-01-02 10:00:00,2016-01-02 10:00:00,88.39
2016-01-02 11:00:00,2016-01-02 11:00:00,88.37
2016-01-02 12:00:00,2016-01-02 12:00:00,88.43
2016-01-02 13:00:00,2016-01-02 13:00:00,88.39
2016-01-02 14:00:00,2016-01-02 14:00:00,88.42
2016-01-02 15:00:00,2016-01-02 15:00:00,88.46
2016-01-02 16:00:00,2016-01-02 16:00:00,88.43
2016-01-02 17:00:00,2016-01-02 17:00:00,88.42
2016-01-02 18:00:00,2016-01-02 18:00:00,88.36
2016-01-02 19:00:00,2016-01-02 19:00:00,88.33
2016-01-02 20:00:00,2016-01-02 20:00:00,88.34
2016-01-02 21:00:00,2016-01-02 21:00:00,88.29
2016-01-02 22:00:00,2016-01-02 22:00:00,88.42
2016-01-02 23:00:00,2016-01-02 23:00:00,88.46
2016-01-03 00:00:00,2016-01-03 00:00:00,88.51
2016-01-03 01:00:00,2016-01-03 01:00:00,88.55
2016-01-03 02:00:00,2016-01-03 02:00:00,88.69
2016-01-03 03:00:00,2016-01-03 03:00:00,88.67
2016-01-03 04:00:00,2016-01-03 04:00:00,88.58
2016-01-03 05:00:00,2016-01-03 05:00:00,88.57
2016-01-03 06:00:00,2016-01-03 06:00:00,88.54
2016-01-03 07:00:00,2016-01-03 07:00:00,88.5
2016-01-03 08:00:00,2016-01-03 08:00:00,88.47
2016-01-03 09:00:00,2016-01-03 09:00:00,88.32
2016-01-03 10:00:00,2016-01-03 10:00:00,88.33
2016-01-03 11:00:00,2016-01-03 11:00:00,88.42
2016-01-03 12:00:00,2016-01-03 12:00:00,88.42
2016-01-03 13:00:00,2016-01-03 13:00:00,88.42
2016-01-03 14:00:00,2016-01-03 14:00:00,88.36
2016-01-03 15:00:00,2016-01-03 15:00:00,88.44
2016-01-03 16:00:00,2016-01-03 16:00:00,88.39
2016-01-03 17:00:00,2016-01-03 17:00:00,88.45
2016-01-03 18:00:00,2016-01-03 18:00:00,88.29
2016-01-03 19:00:00,2016-01-03 19:00:00,88.2
2016-01-03 20:00:00,2016-01-03 20:00:00,88.26
2016-01-03 21:00:00,2016-01-03 21:00:00,88.31
2016-01-03 22:00:00,2016-01-03 22:00:00,88.42
2016-01-03 23:00:00,2016-01-03 23:00:00,88.47
2016-01-04 00:00:00,2016-01-04 00:00:00,88.54
2016-01-04 01:00:00,2016-01-04 01:00:00,88.57
2016-01-04 02:00:00,2016-01-04 02:00:00,88.63
2016-01-04 03:00:00,2016-01-04 03:00:00,88.6
2016-01-04 04:00:00,2016-01-04 04:00:00,88.53
2016-01-04 05:00:00,2016-01-04 05:00:00,88.47
2016-01-04 06:00:00,2016-01-04 06:00:00,88.42
2016-01-04 07:00:00,2016-01-04 07:00:00,88.26
2016-01-04 08:00:00,2016-01-04 08:00:00,88.26
2016-01-04 09:00:00,2016-01-04 09:00:00,88.61
2016-01-04 10:00:00,2016-01-04 10:00:00,100.54
2016-01-04 11:00:00,2016-01-04 11:00:00,105.97
2016-01-04 12:00:00,2016-01-04 12:00:00,106.06
