timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,99.96
2016-01-01 01:00:00,2016-01-01 01:00:00,105.33
2016-01-01 02:00:00,2016-01-01 02:00:00,113.97
2016-01-01 03:00:00,2016-01-01 03:00:00,105.42
2016-01-01 04:00:00,2016-01-01 04:00:00,108.72
2016-01-01 05:00:00,2016-01-01 05:00:00,103.62
2016-01-01 06:00:00,2016-01-01 06:00:00,113.37
2016-01-01 07:00:00,2016-01-01 07:00:00,120.78
2016-01-01 08:00:00,2016-01-01 08:00:00,110.88
2016-01-01 09:00:00,2016-01-01 09:00:00,106.71
2016-01-01 10:00:00,2016-01-01 10:00:00,109.5
2016-01-01 11:00:00,2016-01-01 11:00:00,97.05
2016-01-01 12:00:00,2016-01-01 12:00:00,97.77
2016-01-01 13:00:00,2016-01-01 13:00:00,103.71
2016-01-01 14:00:00,2016-01-01 14:00:00,107.73
2016-01-01 15:00:00,2016-01-01 15:00:00,112.26
2016-01-01 16:00:00,2016-01-01 16:00:00,105.12
2016-01-01 17:00:00,2016-01-01 17:00:00,113.07
2016-01-01 18:00:00,2016-01-01 18:00:00,112.62
2016-01-01 19:00:00,2016-01-01 19:00:00,117.06
2016-01-01 20:00:00,2016-01-01 20:00:00,116.34
2016-01-01 21:00:00,2016-01-01 21:00:00,114.51
2016-01-01 22:00:00,2016-01-01 22:00:00,108.66
2016-01-01 23:00:00,2016-01-01 23:00:00,105.51
2016-01-02 00:00:00,2016-01-02 00:00:00,107.19
2016-01-02 01:00:00,2016-01-02 01:00:00,101.49
2016-01-02 02:00:00,2016-01-02 02:00:00,98.61
2016-01-02 03:00:00,2016-01-02 03:00:00,108.87
2016-01-02 04:00:00,2016-01-02 04:00:00,103.98
2016-01-02 05:00:00,2016-01-02 05:00:00,107.61
2016-01-02 06:00:00,2016-01-02 06:00:00,118.47
2016-01-02 07:00:00,2016-01-02 07:00:00,113.97
2016-01-02 08:00:00,2016-01-02 08:00:00,115.02
2016-01-02 09:00:00,2016-01-02 09:00:00,105.99
2016-01-02 10:00:00,2016-01-02 10:00:00,99.84
2016-01-02 11:00:00,2016-01-02 11:00:00,101.31
2016-01-02 12:00:00,2016-01-02 12:00:00,96.72
