timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,95.64
2016-01-01 01:00:00,2016-01-01 01:00:00,94.89
2016-01-01 02:00:00,2016-01-01 02:00:00,95.78
2016-01-01 03:00:00,2016-01-01 03:00:00,94.73
2016-01-01 04:00:00,2016-01-01 04:00:00,95.7
2016-01-01 05:00:00,2016-01-01 05:00:00,94.47
2016-01-01 06:00:00,2016-01-01 06:00:00,99.46
2016-01-01 07:00:00,2016-01-01 07:00:00,98.66
2016-01-01 08:00:00,2016-01-01 08:00:00,87.83
2016-01-01 09:00:00,2016-01-01 09:00:00,81.67
2016-01-01 10:00:00,2016-01-01 10:00:00,78.68
2016-01-01 11:00:00,2016-01-01 11:00:00,79.73
2016-01-01 12:00:00,2016-01-01 12:00:00,78.92
2016-01-01 13:00:00,2016-01-01 13:00:00,78.63
2016-01-01 14:00:00,2016-01-01 14:00:00,79.4
2016-01-01 15:00:00,2016-01-01 15:00:00,78.61
2016-01-01 16:00:00,2016-01-01 16:00:00,78.78
2016-01-01 17:00:00,2016-01-01 17:00:00,87.02
2016-01-01 18:00:00,2016-01-01 18:00:00,94.42
2016-01-01 19:00:00,2016-01-01 19:00:00,93.96
2016-01-01 20:00:00,2016-01-01 20:00:00,94.25
2016-01-01 21:00:00,2016-01-01 21:00:00,95.03
2016-01-01 22:00:00,2016-01-01 22:00:00,96.14
2016-01-01 23:00:00,2016-01-01 23:00:00,95.61
2016-01-02 00:00:00,2016-01-02 00:00:00,95.58
2016-01-02 01:00:00,2016-01-02 01:00:00,95.83
2016-01-02 02:00:00,2016-01-02 02:00:00,95.31
2016-01-02 03:00:00,2016-01-02 03:00:00,95.25
2016-01-02 04:00:00,2016-01-02 04:00:00,95.59
2016-01-02 05:00:00,2016-01-02 05:00:00,95.11
2016-01-02 06:00:00,2016-01-02 06:00:00,94.66
2016-01-02 07:00:00,2016-01-02 07:00:00,94.25
2016-01-02 08:00:00,2016-01-02 08:00:00,85.54
2016-01-02 09:00:00,2016-01-02 09:00:00,79.47
2016-01-02 10:00:00,2016-01-02 10:00:00,80.25
2016-01-02 11:00:00,2016-01-02 11:00:00,79.88
2016-01-02 12:00:00,2016-01-02 12:00:00,79.3
