timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,321.7
2016-01-01 01:00:00,2016-01-01 01:00:00,277.88
2016-01-01 02:00:00,2016-01-01 02:00:00,279.91
2016-01-01 03:00:00,2016-01-01 03:00:00,280.22
2016-01-01 04:00:00,2016-01-01 04:00:00,282.89
2016-01-01 05:00:00,2016-01-01 05:00:00,301.06
2016-01-01 06:00:00,2016-01-01 06:00:00,335.23
2016-01-01 07:00:00,2016-01-01 07:00:00,390.25
2016-01-01 08:00:00,2016-01-01 08:00:00,381.6
2016-01-01 09:00:00,2016-01-01 09:00:00,380.5
2016-01-01 10:00:00,2016-01-01 10:00:00,375.29
2016-01-01 11:00:00,2016-01-01 11:00:00,377.18
2016-01-01 12:00:00,2016-01-01 12:00:00,375.13
2016-01-01 13:00:00,2016-01-01 13:00:00,377.55
2016-01-01 14:00:00,2016-01-01 14:00:00,379.43
2016-01-01 15:00:00,2016-01-01 15:00:00,376.56
2016-01-01 16:00:00,2016-01-01 16:00:00,374.26
2016-01-01 17:00:00,2016-01-01 17:00:00,379.35
2016-01-01 18:00:00,2016-01-01 18:00:00,383.47
2016-01-01 19:00:00,2016-01-01 19:00:00,310.03
2016-01-01 20:00:00,2016-01-01 20:00:00,308.84
2016-01-01 21:00:00,2016-01-01 21:00:00,307.89
2016-01-01 22:00:00,2016-01-01 22:00:00,277.55
2016-01-01 23:00:00,2016-01-01 23:00:00,280.19
2016-01-02 00:00:00,2016-01-02 00:00:00,280.57
2016-01-02 01:00:00,2016-01-02 01:00:00,278.11
2016-01-02 02:00:00,2016-01-02 02:00:00,276.6
2016-01-02 03:00:00,2016-01-02 03:00:00,279.16
2016-01-02 04:00:00,2016-01-02 04:00:00,281.43
2016-01-02 05:00:00,2016-01-02 05:00:00,279.04
2016-01-02 06:00:00,2016-01-02 06:00:00,279.42
2016-01-02 07:00:00,2016-01-02 07:00:00,309.41
2016-01-02 08:00:00,2016-01-02 08:00:00,335.19
2016-01-02 09:00:00,2016-01-02 09:00:00,363.82
2016-01-02 10:00:00,2016-01-02 10:00:00,372.76
2016-01-02 11:00:00,2016-01-02 11:00:00,375.2
2016-01-02 12:00:00,2016-01-02 12:00:00,376.89
2016-01-02 13:00:00,2016-01-02 13:00:00,378.97
2016-01-02 14:00:00,2016-01-02 14:00:00,381.25
2016-01-02 15:00:00,2016-01-02 15:00:00,380.06
