timestamp,timestamp,meter_reading
2016-03-30 00:00:00,2016-03-30 00:00:00,0.48
2016-03-30 01:00:00,2016-03-30 01:00:00,0.48
2016-03-30 02:00:00,2016-03-30 02:00:00,0.47
2016-03-30 03:00:00,2016-03-30 03:00:00,0.46
2016-03-30 04:00:00,2016-03-30 04:00:00,0.63
2016-03-30 05:00:00,2016-03-30 05:00:00,0.71
2016-03-30 06:00:00,2016-03-30 06:00:00,0.68
2016-03-30 07:00:00,2016-03-30 07:00:00,0.7
2016-03-30 08:00:00,2016-03-30 08:00:00,0.72
2016-03-30 09:00:00,2016-03-30 09:00:00,0.68
2016-03-30 10:00:00,2016-03-30 10:00:00,0.68
2016-03-30 11:00:00,2016-03-30 11:00:00,0.65
2016-03-30 12:00:00,2016-03-30 12:00:00,0.65
2016-03-30 13:00:00,2016-03-30 13:00:00,0.63
2016-03-30 14:00:00,2016-03-30 14:00:00,0.64
2016-03-30 15:00:00,2016-03-30 15:00:00,0.62
2016-03-30 16:00:00,2016-03-30 16:00:00,0.61
2016-03-30 17:00:00,2016-03-30 17:00:00,0.63
2016-03-30 18:00:00,2016-03-30 18:00:00,0.47
2016-03-30 19:00:00,2016-03-30 19:00:00,0.4
2016-03-30 20:00:00,2016-03-30 20:00:00,0.41
2016-03-30 21:00:00,2016-03-30 21:00:00,0.41
2016-03-30 22:00:00,2016-03-30 22:00:00,0.42
2016-03-30 23:00:00,2016-03-30 23:00:00,0.42
2016-03-31 00:00:00,2016-03-31 00:00:00,0.42
2016-03-31 01:00:00,2016-03-31 01:00:00,0.43
2016-03-31 02:00:00,2016-03-31 02:00:00,0.44
2016-03-31 03:00:00,2016-03-31 03:00:00,0.44
2016-03-31 04:00:00,2016-03-31 04:00:00,0.57
2016-03-31 05:00:00,2016-03-31 05:00:00,0.6
2016-03-31 06:00:00,2016-03-31 06:00:00,0.61
2016-03-31 07:00:00,2016-03-31 07:00:00,0.6
2016-03-31 08:00:00,2016-03-31 08:00:00,0.62
2016-03-31 09:00:00,2016-03-31 09:00:00,0.63
2016-03-31 10:00:00,2016-03-31 10:00:00,0.64
2016-03-31 11:00:00,2016-03-31 11:00:00,0.63
2016-03-31 12:00:00,2016-03-31 12:00:00,0.75
2016-03-31 13:00:00,2016-03-31 13:00:00,0.75
2016-03-31 14:00:00,2016-03-31 14:00:00,0.75
2016-03-31 15:00:00,2016-03-31 15:00:00,0.76
2016-03-31 16:00:00,2016-03-31 16:00:00,0.77
2016-03-31 17:00:00,2016-03-31 17:00:00,0.76
2016-03-31 18:00:00,2016-03-31 18:00:00,0.47
2016-03-31 19:00:00,2016-03-31 19:00:00,0.41
2016-03-31 20:00:00,2016-03-31 20:00:00,0.38
2016-03-31 21:00:00,2016-03-31 21:00:00,0.41
2016-03-31 22:00:00,2016-03-31 22:00:00,0.42
2016-03-31 23:00:00,2016-03-31 23:00:00,0.41
2016-04-01 00:00:00,2016-04-01 00:00:00,0.39
2016-04-01 01:00:00,2016-04-01 01:00:00,0.4
2016-04-01 02:00:00,2016-04-01 02:00:00,0.42
2016-04-01 03:00:00,2016-04-01 03:00:00,0.44
2016-04-01 04:00:00,2016-04-01 04:00:00,0.67
2016-04-01 05:00:00,2016-04-01 05:00:00,0.76
2016-04-01 06:00:00,2016-04-01 06:00:00,0.8
2016-04-01 07:00:00,2016-04-01 07:00:00,0.82
2016-04-01 08:00:00,2016-04-01 08:00:00,0.86
2016-04-01 09:00:00,2016-04-01 09:00:00,0.87
2016-04-01 10:00:00,2016-04-01 10:00:00,0.84
2016-04-01 11:00:00,2016-04-01 11:00:00,0.87
2016-04-01 12:00:00,2016-04-01 12:00:00,0.87
2016-04-01 13:00:00,2016-04-01 13:00:00,0.88
2016-04-01 14:00:00,2016-04-01 14:00:00,0.89
2016-04-01 15:00:00,2016-04-01 15:00:00,0.88
2016-04-01 16:00:00,2016-04-01 16:00:00,0.85
2016-04-01 17:00:00,2016-04-01 17:00:00,0.88
2016-04-01 18:00:00,2016-04-01 18:00:00,0.49
2016-04-01 19:00:00,2016-04-01 19:00:00,0.4
2016-04-01 20:00:00,2016-04-01 20:00:00,0.42
2016-04-01 21:00:00,2016-04-01 21:00:00,0.44
2016-04-01 22:00:00,2016-04-01 22:00:00,0.44
2016-04-01 23:00:00,2016-04-01 23:00:00,0.47
2016-04-02 00:00:00,2016-04-02 00:00:00,0.45
2016-04-02 01:00:00,2016-04-02 01:00:00,0.43
2016-04-02 02:00:00,2016-04-02 02:00:00,0.38
2016-04-02 03:00:00,2016-04-02 03:00:00,0.39
2016-04-02 04:00:00,2016-04-02 04:00:00,0.42
2016-04-02 05:00:00,2016-04-02 05:00:00,0.45
2016-04-02 06:00:00,2016-04-02 06:00:00,0.41
2016-04-02 07:00:00,2016-04-02 07:00:00,0.41
