timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,63.04
2016-01-01 01:00:00,2016-01-01 01:00:00,63.27
2016-01-01 02:00:00,2016-01-01 02:00:00,63.36
2016-01-01 03:00:00,2016-01-01 03:00:00,63.33
2016-01-01 04:00:00,2016-01-01 04:00:00,63.45
2016-01-01 05:00:00,2016-01-01 05:00:00,63.61
2016-01-01 06:00:00,2016-01-01 06:00:00,64.77
2016-01-01 07:00:00,2016-01-01 07:00:00,64.09
2016-01-01 08:00:00,2016-01-01 08:00:00,62.64
2016-01-01 09:00:00,2016-01-01 09:00:00,61.4
2016-01-01 10:00:00,2016-01-01 10:00:00,58.92
2016-01-01 11:00:00,2016-01-01 11:00:00,58.25
2016-01-01 12:00:00,2016-01-01 12:00:00,59.97
2016-01-01 13:00:00,2016-01-01 13:00:00,59.18
2016-01-01 14:00:00,2016-01-01 14:00:00,56.84
2016-01-01 15:00:00,2016-01-01 15:00:00,56.85
2016-01-01 16:00:00,2016-01-01 16:00:00,56.98
2016-01-01 17:00:00,2016-01-01 17:00:00,57.7
2016-01-01 18:00:00,2016-01-01 18:00:00,62.84
2016-01-01 19:00:00,2016-01-01 19:00:00,62.9
2016-01-01 20:00:00,2016-01-01 20:00:00,63.16
2016-01-01 21:00:00,2016-01-01 21:00:00,63.34
2016-01-01 22:00:00,2016-01-01 22:00:00,63.34
2016-01-01 23:00:00,2016-01-01 23:00:00,63.36
2016-01-02 00:00:00,2016-01-02 00:00:00,63.54
2016-01-02 01:00:00,2016-01-02 01:00:00,63.19
2016-01-02 02:00:00,2016-01-02 02:00:00,63.5
2016-01-02 03:00:00,2016-01-02 03:00:00,63.27
2016-01-02 04:00:00,2016-01-02 04:00:00,63.86
2016-01-02 05:00:00,2016-01-02 05:00:00,63.67
2016-01-02 06:00:00,2016-01-02 06:00:00,64.23
2016-01-02 07:00:00,2016-01-02 07:00:00,63.98
2016-01-02 08:00:00,2016-01-02 08:00:00,60.32
2016-01-02 09:00:00,2016-01-02 09:00:00,71.94
2016-01-02 10:00:00,2016-01-02 10:00:00,75.08
2016-01-02 11:00:00,2016-01-02 11:00:00,74.21
2016-01-02 12:00:00,2016-01-02 12:00:00,76.36
2016-01-02 13:00:00,2016-01-02 13:00:00,73.56
