timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,232.36
2016-01-01 01:00:00,2016-01-01 01:00:00,226.14
2016-01-01 02:00:00,2016-01-01 02:00:00,223.37
2016-01-01 03:00:00,2016-01-01 03:00:00,222.4
2016-01-01 04:00:00,2016-01-01 04:00:00,221.37
2016-01-01 05:00:00,2016-01-01 05:00:00,227.22
2016-01-01 06:00:00,2016-01-01 06:00:00,256.84
2016-01-01 07:00:00,2016-01-01 07:00:00,274.31
2016-01-01 08:00:00,2016-01-01 08:00:00,270.55
2016-01-01 09:00:00,2016-01-01 09:00:00,273.32
2016-01-01 10:00:00,2016-01-01 10:00:00,275.59
2016-01-01 11:00:00,2016-01-01 11:00:00,277.31
2016-01-01 12:00:00,2016-01-01 12:00:00,281.71
2016-01-01 13:00:00,2016-01-01 13:00:00,269.3
2016-01-01 14:00:00,2016-01-01 14:00:00,257.61
2016-01-01 15:00:00,2016-01-01 15:00:00,244.35
2016-01-01 16:00:00,2016-01-01 16:00:00,245.12
2016-01-01 17:00:00,2016-01-01 17:00:00,249.11
2016-01-01 18:00:00,2016-01-01 18:00:00,252.88
2016-01-01 19:00:00,2016-01-01 19:00:00,255.26
2016-01-01 20:00:00,2016-01-01 20:00:00,261.69
2016-01-01 21:00:00,2016-01-01 21:00:00,261.7
2016-01-01 22:00:00,2016-01-01 22:00:00,259.55
2016-01-01 23:00:00,2016-01-01 23:00:00,239.43
2016-01-02 00:00:00,2016-01-02 00:00:00,238.32
2016-01-02 01:00:00,2016-01-02 01:00:00,230.92
2016-01-02 02:00:00,2016-01-02 02:00:00,222.92
2016-01-02 03:00:00,2016-01-02 03:00:00,223.57
2016-01-02 04:00:00,2016-01-02 04:00:00,219.61
2016-01-02 05:00:00,2016-01-02 05:00:00,221.24
2016-01-02 06:00:00,2016-01-02 06:00:00,232.72
2016-01-02 07:00:00,2016-01-02 07:00:00,256.14
2016-01-02 08:00:00,2016-01-02 08:00:00,258.61
2016-01-02 09:00:00,2016-01-02 09:00:00,272.53
2016-01-02 10:00:00,2016-01-02 10:00:00,274.5
2016-01-02 11:00:00,2016-01-02 11:00:00,276.16
2016-01-02 12:00:00,2016-01-02 12:00:00,272.07
2016-01-02 13:00:00,2016-01-02 13:00:00,270.5
2016-01-02 14:00:00,2016-01-02 14:00:00,270.35
2016-01-02 15:00:00,2016-01-02 15:00:00,263.81
2016-01-02 16:00:00,2016-01-02 16:00:00,263.88
2016-01-02 17:00:00,2016-01-02 17:00:00,261.94
2016-01-02 18:00:00,2016-01-02 18:00:00,251.94
2016-01-02 19:00:00,2016-01-02 19:00:00,251.35
2016-01-02 20:00:00,2016-01-02 20:00:00,253.46
2016-01-02 21:00:00,2016-01-02 21:00:00,255.19
2016-01-02 22:00:00,2016-01-02 22:00:00,254.59
2016-01-02 23:00:00,2016-01-02 23:00:00,232.36
2016-01-03 00:00:00,2016-01-03 00:00:00,231.71
2016-01-03 01:00:00,2016-01-03 01:00:00,228.03
2016-01-03 02:00:00,2016-01-03 02:00:00,224.37
2016-01-03 03:00:00,2016-01-03 03:00:00,221.74
2016-01-03 04:00:00,2016-01-03 04:00:00,223.53
2016-01-03 05:00:00,2016-01-03 05:00:00,223.09
2016-01-03 06:00:00,2016-01-03 06:00:00,238.0
2016-01-03 07:00:00,2016-01-03 07:00:00,256.75
2016-01-03 08:00:00,2016-01-03 08:00:00,265.71
2016-01-03 09:00:00,2016-01-03 09:00:00,269.83
2016-01-03 10:00:00,2016-01-03 10:00:00,272.03
