timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,675.84
2016-01-01 01:00:00,2016-01-01 01:00:00,670.8
2016-01-01 02:00:00,2016-01-01 02:00:00,673.98
2016-01-01 03:00:00,2016-01-01 03:00:00,673.68
2016-01-01 04:00:00,2016-01-01 04:00:00,669.42
2016-01-01 05:00:00,2016-01-01 05:00:00,667.08
2016-01-01 06:00:00,2016-01-01 06:00:00,675.84
2016-01-01 07:00:00,2016-01-01 07:00:00,669.96
2016-01-01 08:00:00,2016-01-01 08:00:00,663.78
2016-01-01 09:00:00,2016-01-01 09:00:00,677.04
2016-01-01 10:00:00,2016-01-01 10:00:00,675.6
2016-01-01 11:00:00,2016-01-01 11:00:00,671.04
2016-01-01 12:00:00,2016-01-01 12:00:00,675.0
2016-01-01 13:00:00,2016-01-01 13:00:00,677.4
2016-01-01 14:00:00,2016-01-01 14:00:00,673.44
2016-01-01 15:00:00,2016-01-01 15:00:00,674.28
2016-01-01 16:00:00,2016-01-01 16:00:00,674.88
2016-01-01 17:00:00,2016-01-01 17:00:00,673.08
2016-01-01 18:00:00,2016-01-01 18:00:00,667.62
2016-01-01 19:00:00,2016-01-01 19:00:00,672.12
2016-01-01 20:00:00,2016-01-01 20:00:00,672.06
2016-01-01 21:00:00,2016-01-01 21:00:00,671.28
2016-01-01 22:00:00,2016-01-01 22:00:00,672.48
2016-01-01 23:00:00,2016-01-01 23:00:00,671.94
2016-01-02 00:00:00,2016-01-02 00:00:00,670.98
2016-01-02 01:00:00,2016-01-02 01:00:00,670.8
2016-01-02 02:00:00,2016-01-02 02:00:00,673.74
2016-01-02 03:00:00,2016-01-02 03:00:00,669.9
2016-01-02 04:00:00,2016-01-02 04:00:00,662.52
2016-01-02 05:00:00,2016-01-02 05:00:00,663.42
2016-01-02 06:00:00,2016-01-02 06:00:00,665.28
2016-01-02 07:00:00,2016-01-02 07:00:00,657.24
2016-01-02 08:00:00,2016-01-02 08:00:00,662.28
2016-01-02 09:00:00,2016-01-02 09:00:00,670.26
2016-01-02 10:00:00,2016-01-02 10:00:00,664.5
2016-01-02 11:00:00,2016-01-02 11:00:00,666.12
2016-01-02 12:00:00,2016-01-02 12:00:00,674.82
2016-01-02 13:00:00,2016-01-02 13:00:00,679.26
2016-01-02 14:00:00,2016-01-02 14:00:00,676.5
2016-01-02 15:00:00,2016-01-02 15:00:00,673.26
2016-01-02 16:00:00,2016-01-02 16:00:00,672.6
2016-01-02 17:00:00,2016-01-02 17:00:00,664.68
2016-01-02 18:00:00,2016-01-02 18:00:00,664.62
2016-01-02 19:00:00,2016-01-02 19:00:00,668.22
2016-01-02 20:00:00,2016-01-02 20:00:00,661.08
2016-01-02 21:00:00,2016-01-02 21:00:00,664.32
2016-01-02 22:00:00,2016-01-02 22:00:00,669.06
2016-01-02 23:00:00,2016-01-02 23:00:00,661.2
