timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,168.29
2016-01-01 01:00:00,2016-01-01 01:00:00,167.36
2016-01-01 02:00:00,2016-01-01 02:00:00,167.78
2016-01-01 03:00:00,2016-01-01 03:00:00,169.03
2016-01-01 04:00:00,2016-01-01 04:00:00,166.24
2016-01-01 05:00:00,2016-01-01 05:00:00,167.55
2016-01-01 06:00:00,2016-01-01 06:00:00,169.82
2016-01-01 07:00:00,2016-01-01 07:00:00,167.26
2016-01-01 08:00:00,2016-01-01 08:00:00,149.24
2016-01-01 09:00:00,2016-01-01 09:00:00,148.5
2016-01-01 10:00:00,2016-01-01 10:00:00,150.97
2016-01-01 11:00:00,2016-01-01 11:00:00,151.3
2016-01-01 12:00:00,2016-01-01 12:00:00,153.76
2016-01-01 13:00:00,2016-01-01 13:00:00,157.0
2016-01-01 14:00:00,2016-01-01 14:00:00,158.27
2016-01-01 15:00:00,2016-01-01 15:00:00,165.85
2016-01-01 16:00:00,2016-01-01 16:00:00,166.92
2016-01-01 17:00:00,2016-01-01 17:00:00,160.58
2016-01-01 18:00:00,2016-01-01 18:00:00,180.01
2016-01-01 19:00:00,2016-01-01 19:00:00,187.2
2016-01-01 20:00:00,2016-01-01 20:00:00,184.89
2016-01-01 21:00:00,2016-01-01 21:00:00,186.68
2016-01-01 22:00:00,2016-01-01 22:00:00,184.94
2016-01-01 23:00:00,2016-01-01 23:00:00,182.61
2016-01-02 00:00:00,2016-01-02 00:00:00,181.17
2016-01-02 01:00:00,2016-01-02 01:00:00,179.41
2016-01-02 02:00:00,2016-01-02 02:00:00,179.59
2016-01-02 03:00:00,2016-01-02 03:00:00,180.56
2016-01-02 04:00:00,2016-01-02 04:00:00,179.31
2016-01-02 05:00:00,2016-01-02 05:00:00,179.82
2016-01-02 06:00:00,2016-01-02 06:00:00,179.42
2016-01-02 07:00:00,2016-01-02 07:00:00,178.5
2016-01-02 08:00:00,2016-01-02 08:00:00,159.76
2016-01-02 09:00:00,2016-01-02 09:00:00,162.31
2016-01-02 10:00:00,2016-01-02 10:00:00,165.15
2016-01-02 11:00:00,2016-01-02 11:00:00,164.59
2016-01-02 12:00:00,2016-01-02 12:00:00,165.18
2016-01-02 13:00:00,2016-01-02 13:00:00,165.32
2016-01-02 14:00:00,2016-01-02 14:00:00,163.72
2016-01-02 15:00:00,2016-01-02 15:00:00,167.95
2016-01-02 16:00:00,2016-01-02 16:00:00,171.2
2016-01-02 17:00:00,2016-01-02 17:00:00,166.87
2016-01-02 18:00:00,2016-01-02 18:00:00,179.74
2016-01-02 19:00:00,2016-01-02 19:00:00,188.93
2016-01-02 20:00:00,2016-01-02 20:00:00,185.87
2016-01-02 21:00:00,2016-01-02 21:00:00,187.56
2016-01-02 22:00:00,2016-01-02 22:00:00,188.31
2016-01-02 23:00:00,2016-01-02 23:00:00,187.93
2016-01-03 00:00:00,2016-01-03 00:00:00,184.21
2016-01-03 01:00:00,2016-01-03 01:00:00,182.96
2016-01-03 02:00:00,2016-01-03 02:00:00,182.13
2016-01-03 03:00:00,2016-01-03 03:00:00,183.68
2016-01-03 04:00:00,2016-01-03 04:00:00,183.23
2016-01-03 05:00:00,2016-01-03 05:00:00,183.81
2016-01-03 06:00:00,2016-01-03 06:00:00,183.01
2016-01-03 07:00:00,2016-01-03 07:00:00,181.4
2016-01-03 08:00:00,2016-01-03 08:00:00,162.32
2016-01-03 09:00:00,2016-01-03 09:00:00,162.5
2016-01-03 10:00:00,2016-01-03 10:00:00,169.26
2016-01-03 11:00:00,2016-01-03 11:00:00,171.47
2016-01-03 12:00:00,2016-01-03 12:00:00,171.39
2016-01-03 13:00:00,2016-01-03 13:00:00,169.2
2016-01-03 14:00:00,2016-01-03 14:00:00,171.15
2016-01-03 15:00:00,2016-01-03 15:00:00,174.69
2016-01-03 16:00:00,2016-01-03 16:00:00,171.06
2016-01-03 17:00:00,2016-01-03 17:00:00,167.31
2016-01-03 18:00:00,2016-01-03 18:00:00,179.83
2016-01-03 19:00:00,2016-01-03 19:00:00,188.82
2016-01-03 20:00:00,2016-01-03 20:00:00,188.64
2016-01-03 21:00:00,2016-01-03 21:00:00,188.0
2016-01-03 22:00:00,2016-01-03 22:00:00,188.65
2016-01-03 23:00:00,2016-01-03 23:00:00,186.54
2016-01-04 00:00:00,2016-01-04 00:00:00,185.45
2016-01-04 01:00:00,2016-01-04 01:00:00,185.72
2016-01-04 02:00:00,2016-01-04 02:00:00,185.66
2016-01-04 03:00:00,2016-01-04 03:00:00,186.18
2016-01-04 04:00:00,2016-01-04 04:00:00,183.48
2016-01-04 05:00:00,2016-01-04 05:00:00,189.03
2016-01-04 06:00:00,2016-01-04 06:00:00,188.93
2016-01-04 07:00:00,2016-01-04 07:00:00,191.14
2016-01-04 08:00:00,2016-01-04 08:00:00,184.91
2016-01-04 09:00:00,2016-01-04 09:00:00,192.7
2016-01-04 10:00:00,2016-01-04 10:00:00,181.74
2016-01-04 11:00:00,2016-01-04 11:00:00,184.78
2016-01-04 12:00:00,2016-01-04 12:00:00,191.4
2016-01-04 13:00:00,2016-01-04 13:00:00,202.66
2016-01-04 14:00:00,2016-01-04 14:00:00,192.08
2016-01-04 15:00:00,2016-01-04 15:00:00,190.87
2016-01-04 16:00:00,2016-01-04 16:00:00,186.71
2016-01-04 17:00:00,2016-01-04 17:00:00,180.39
2016-01-04 18:00:00,2016-01-04 18:00:00,190.44
2016-01-04 19:00:00,2016-01-04 19:00:00,198.1
2016-01-04 20:00:00,2016-01-04 20:00:00,193.45
2016-01-04 21:00:00,2016-01-04 21:00:00,191.2
2016-01-04 22:00:00,2016-01-04 22:00:00,185.4
2016-01-04 23:00:00,2016-01-04 23:00:00,182.13
2016-01-05 00:00:00,2016-01-05 00:00:00,181.1
2016-01-05 01:00:00,2016-01-05 01:00:00,178.41
2016-01-05 02:00:00,2016-01-05 02:00:00,178.44
2016-01-05 03:00:00,2016-01-05 03:00:00,178.24
2016-01-05 04:00:00,2016-01-05 04:00:00,179.48
2016-01-05 05:00:00,2016-01-05 05:00:00,183.66
2016-01-05 06:00:00,2016-01-05 06:00:00,188.44
2016-01-05 07:00:00,2016-01-05 07:00:00,184.98
2016-01-05 08:00:00,2016-01-05 08:00:00,177.48
2016-01-05 09:00:00,2016-01-05 09:00:00,187.06
2016-01-05 10:00:00,2016-01-05 10:00:00,177.2
2016-01-05 11:00:00,2016-01-05 11:00:00,183.34
2016-01-05 12:00:00,2016-01-05 12:00:00,190.12
2016-01-05 13:00:00,2016-01-05 13:00:00,203.71
2016-01-05 14:00:00,2016-01-05 14:00:00,195.13
2016-01-05 15:00:00,2016-01-05 15:00:00,196.1
2016-01-05 16:00:00,2016-01-05 16:00:00,192.28
2016-01-05 17:00:00,2016-01-05 17:00:00,181.66
2016-01-05 18:00:00,2016-01-05 18:00:00,191.64
2016-01-05 19:00:00,2016-01-05 19:00:00,200.2
2016-01-05 20:00:00,2016-01-05 20:00:00,200.11
2016-01-05 21:00:00,2016-01-05 21:00:00,199.11
2016-01-05 22:00:00,2016-01-05 22:00:00,192.44
2016-01-05 23:00:00,2016-01-05 23:00:00,186.91
2016-01-06 00:00:00,2016-01-06 00:00:00,185.25
2016-01-06 01:00:00,2016-01-06 01:00:00,181.29
2016-01-06 02:00:00,2016-01-06 02:00:00,181.22
2016-01-06 03:00:00,2016-01-06 03:00:00,179.76
2016-01-06 04:00:00,2016-01-06 04:00:00,178.79
2016-01-06 05:00:00,2016-01-06 05:00:00,180.23
2016-01-06 06:00:00,2016-01-06 06:00:00,179.42
