timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,183.96
2016-01-01 01:00:00,2016-01-01 01:00:00,181.71
2016-01-01 02:00:00,2016-01-01 02:00:00,180.67
2016-01-01 03:00:00,2016-01-01 03:00:00,184.95
2016-01-01 04:00:00,2016-01-01 04:00:00,177.46
2016-01-01 05:00:00,2016-01-01 05:00:00,168.91
2016-01-01 06:00:00,2016-01-01 06:00:00,171.33
2016-01-01 07:00:00,2016-01-01 07:00:00,174.87
2016-01-01 08:00:00,2016-01-01 08:00:00,171.98
2016-01-01 09:00:00,2016-01-01 09:00:00,172.85
2016-01-01 10:00:00,2016-01-01 10:00:00,168.15
2016-01-01 11:00:00,2016-01-01 11:00:00,169.02
2016-01-01 12:00:00,2016-01-01 12:00:00,170.89
2016-01-01 13:00:00,2016-01-01 13:00:00,167.62
2016-01-01 14:00:00,2016-01-01 14:00:00,172.64
2016-01-01 15:00:00,2016-01-01 15:00:00,170.83
2016-01-01 16:00:00,2016-01-01 16:00:00,167.57
2016-01-01 17:00:00,2016-01-01 17:00:00,173.21
2016-01-01 18:00:00,2016-01-01 18:00:00,171.49
2016-01-01 19:00:00,2016-01-01 19:00:00,172.17
2016-01-01 20:00:00,2016-01-01 20:00:00,174.16
2016-01-01 21:00:00,2016-01-01 21:00:00,169.92
2016-01-01 22:00:00,2016-01-01 22:00:00,174.84
2016-01-01 23:00:00,2016-01-01 23:00:00,174.51
2016-01-02 00:00:00,2016-01-02 00:00:00,176.0
2016-01-02 01:00:00,2016-01-02 01:00:00,175.26
2016-01-02 02:00:00,2016-01-02 02:00:00,171.07
2016-01-02 03:00:00,2016-01-02 03:00:00,175.54
2016-01-02 04:00:00,2016-01-02 04:00:00,173.09
2016-01-02 05:00:00,2016-01-02 05:00:00,172.86
2016-01-02 06:00:00,2016-01-02 06:00:00,172.4
2016-01-02 07:00:00,2016-01-02 07:00:00,176.93
2016-01-02 08:00:00,2016-01-02 08:00:00,171.39
2016-01-02 09:00:00,2016-01-02 09:00:00,174.86
2016-01-02 10:00:00,2016-01-02 10:00:00,174.67
2016-01-02 11:00:00,2016-01-02 11:00:00,177.2
2016-01-02 12:00:00,2016-01-02 12:00:00,174.52
2016-01-02 13:00:00,2016-01-02 13:00:00,178.98
2016-01-02 14:00:00,2016-01-02 14:00:00,179.42
2016-01-02 15:00:00,2016-01-02 15:00:00,178.48
2016-01-02 16:00:00,2016-01-02 16:00:00,174.39
2016-01-02 17:00:00,2016-01-02 17:00:00,175.56
2016-01-02 18:00:00,2016-01-02 18:00:00,174.61
2016-01-02 19:00:00,2016-01-02 19:00:00,178.0
2016-01-02 20:00:00,2016-01-02 20:00:00,172.13
2016-01-02 21:00:00,2016-01-02 21:00:00,170.92
2016-01-02 22:00:00,2016-01-02 22:00:00,177.14
2016-01-02 23:00:00,2016-01-02 23:00:00,169.97
2016-01-03 00:00:00,2016-01-03 00:00:00,174.2
2016-01-03 01:00:00,2016-01-03 01:00:00,173.25
2016-01-03 02:00:00,2016-01-03 02:00:00,174.98
2016-01-03 03:00:00,2016-01-03 03:00:00,175.0
2016-01-03 04:00:00,2016-01-03 04:00:00,169.39
2016-01-03 05:00:00,2016-01-03 05:00:00,171.46
2016-01-03 06:00:00,2016-01-03 06:00:00,172.09
2016-01-03 07:00:00,2016-01-03 07:00:00,170.91
2016-01-03 08:00:00,2016-01-03 08:00:00,175.48
2016-01-03 09:00:00,2016-01-03 09:00:00,169.51
2016-01-03 10:00:00,2016-01-03 10:00:00,180.14
2016-01-03 11:00:00,2016-01-03 11:00:00,173.87
2016-01-03 12:00:00,2016-01-03 12:00:00,179.24
2016-01-03 13:00:00,2016-01-03 13:00:00,177.97
2016-01-03 14:00:00,2016-01-03 14:00:00,177.61
2016-01-03 15:00:00,2016-01-03 15:00:00,178.86
2016-01-03 16:00:00,2016-01-03 16:00:00,178.65
2016-01-03 17:00:00,2016-01-03 17:00:00,177.15
2016-01-03 18:00:00,2016-01-03 18:00:00,173.54
2016-01-03 19:00:00,2016-01-03 19:00:00,173.17
2016-01-03 20:00:00,2016-01-03 20:00:00,174.91
2016-01-03 21:00:00,2016-01-03 21:00:00,176.0
2016-01-03 22:00:00,2016-01-03 22:00:00,173.28
2016-01-03 23:00:00,2016-01-03 23:00:00,174.74
2016-01-04 00:00:00,2016-01-04 00:00:00,174.26
2016-01-04 01:00:00,2016-01-04 01:00:00,171.25
2016-01-04 02:00:00,2016-01-04 02:00:00,176.99
2016-01-04 03:00:00,2016-01-04 03:00:00,171.45
2016-01-04 04:00:00,2016-01-04 04:00:00,173.15
2016-01-04 05:00:00,2016-01-04 05:00:00,174.02
2016-01-04 06:00:00,2016-01-04 06:00:00,167.47
2016-01-04 07:00:00,2016-01-04 07:00:00,175.91
2016-01-04 08:00:00,2016-01-04 08:00:00,175.57
2016-01-04 09:00:00,2016-01-04 09:00:00,182.13
2016-01-04 10:00:00,2016-01-04 10:00:00,186.42
2016-01-04 11:00:00,2016-01-04 11:00:00,191.07
