timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,386.11
2016-01-01 01:00:00,2016-01-01 01:00:00,381.16
2016-01-01 02:00:00,2016-01-01 02:00:00,390.94
2016-01-01 03:00:00,2016-01-01 03:00:00,403.66
2016-01-01 04:00:00,2016-01-01 04:00:00,395.02
2016-01-01 05:00:00,2016-01-01 05:00:00,534.87
2016-01-01 06:00:00,2016-01-01 06:00:00,572.5
2016-01-01 07:00:00,2016-01-01 07:00:00,598.54
2016-01-01 08:00:00,2016-01-01 08:00:00,598.41
2016-01-01 09:00:00,2016-01-01 09:00:00,607.06
2016-01-01 10:00:00,2016-01-01 10:00:00,594.48
2016-01-01 11:00:00,2016-01-01 11:00:00,573.76
2016-01-01 12:00:00,2016-01-01 12:00:00,548.86
2016-01-01 13:00:00,2016-01-01 13:00:00,547.1
2016-01-01 14:00:00,2016-01-01 14:00:00,549.19
2016-01-01 15:00:00,2016-01-01 15:00:00,544.33
2016-01-01 16:00:00,2016-01-01 16:00:00,561.9
2016-01-01 17:00:00,2016-01-01 17:00:00,592.41
2016-01-01 18:00:00,2016-01-01 18:00:00,609.58
2016-01-01 19:00:00,2016-01-01 19:00:00,615.3
2016-01-01 20:00:00,2016-01-01 20:00:00,470.32
2016-01-01 21:00:00,2016-01-01 21:00:00,446.85
2016-01-01 22:00:00,2016-01-01 22:00:00,444.05
2016-01-01 23:00:00,2016-01-01 23:00:00,434.11
2016-01-02 00:00:00,2016-01-02 00:00:00,411.48
2016-01-02 01:00:00,2016-01-02 01:00:00,415.25
2016-01-02 02:00:00,2016-01-02 02:00:00,412.98
2016-01-02 03:00:00,2016-01-02 03:00:00,428.72
2016-01-02 04:00:00,2016-01-02 04:00:00,424.48
2016-01-02 05:00:00,2016-01-02 05:00:00,439.07
2016-01-02 06:00:00,2016-01-02 06:00:00,461.89
2016-01-02 07:00:00,2016-01-02 07:00:00,469.09
2016-01-02 08:00:00,2016-01-02 08:00:00,626.2
2016-01-02 09:00:00,2016-01-02 09:00:00,595.69
2016-01-02 10:00:00,2016-01-02 10:00:00,562.57
2016-01-02 11:00:00,2016-01-02 11:00:00,523.85
2016-01-02 12:00:00,2016-01-02 12:00:00,514.54
2016-01-02 13:00:00,2016-01-02 13:00:00,518.12
2016-01-02 14:00:00,2016-01-02 14:00:00,543.85
2016-01-02 15:00:00,2016-01-02 15:00:00,573.23
2016-01-02 16:00:00,2016-01-02 16:00:00,598.52
2016-01-02 17:00:00,2016-01-02 17:00:00,611.82
2016-01-02 18:00:00,2016-01-02 18:00:00,457.18
2016-01-02 19:00:00,2016-01-02 19:00:00,454.57
2016-01-02 20:00:00,2016-01-02 20:00:00,443.86
2016-01-02 21:00:00,2016-01-02 21:00:00,447.59
2016-01-02 22:00:00,2016-01-02 22:00:00,448.12
2016-01-02 23:00:00,2016-01-02 23:00:00,418.47
2016-01-03 00:00:00,2016-01-03 00:00:00,401.01
