timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,426.2
2016-01-01 01:00:00,2016-01-01 01:00:00,426.03
2016-01-01 02:00:00,2016-01-01 02:00:00,426.25
2016-01-01 03:00:00,2016-01-01 03:00:00,427.63
2016-01-01 04:00:00,2016-01-01 04:00:00,428.69
2016-01-01 05:00:00,2016-01-01 05:00:00,428.39
2016-01-01 06:00:00,2016-01-01 06:00:00,430.57
2016-01-01 07:00:00,2016-01-01 07:00:00,431.26
2016-01-01 08:00:00,2016-01-01 08:00:00,431.71
2016-01-01 09:00:00,2016-01-01 09:00:00,414.65
2016-01-01 10:00:00,2016-01-01 10:00:00,420.93
2016-01-01 11:00:00,2016-01-01 11:00:00,425.64
2016-01-01 12:00:00,2016-01-01 12:00:00,424.14
2016-01-01 13:00:00,2016-01-01 13:00:00,422.43
2016-01-01 14:00:00,2016-01-01 14:00:00,422.02
2016-01-01 15:00:00,2016-01-01 15:00:00,420.32
2016-01-01 16:00:00,2016-01-01 16:00:00,415.96
2016-01-01 17:00:00,2016-01-01 17:00:00,408.56
2016-01-01 18:00:00,2016-01-01 18:00:00,424.16
2016-01-01 19:00:00,2016-01-01 19:00:00,430.82
2016-01-01 20:00:00,2016-01-01 20:00:00,435.25
2016-01-01 21:00:00,2016-01-01 21:00:00,442.16
2016-01-01 22:00:00,2016-01-01 22:00:00,439.16
2016-01-01 23:00:00,2016-01-01 23:00:00,439.61
2016-01-02 00:00:00,2016-01-02 00:00:00,443.53
2016-01-02 01:00:00,2016-01-02 01:00:00,442.26
2016-01-02 02:00:00,2016-01-02 02:00:00,437.56
2016-01-02 03:00:00,2016-01-02 03:00:00,437.9
2016-01-02 04:00:00,2016-01-02 04:00:00,438.86
2016-01-02 05:00:00,2016-01-02 05:00:00,431.73
2016-01-02 06:00:00,2016-01-02 06:00:00,437.55
2016-01-02 07:00:00,2016-01-02 07:00:00,437.94
2016-01-02 08:00:00,2016-01-02 08:00:00,434.13
2016-01-02 09:00:00,2016-01-02 09:00:00,436.11
2016-01-02 10:00:00,2016-01-02 10:00:00,433.33
