timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,152.01
2016-01-01 01:00:00,2016-01-01 01:00:00,151.56
2016-01-01 02:00:00,2016-01-01 02:00:00,150.06
2016-01-01 03:00:00,2016-01-01 03:00:00,150.0
2016-01-01 04:00:00,2016-01-01 04:00:00,150.06
2016-01-01 05:00:00,2016-01-01 05:00:00,151.56
2016-01-01 06:00:00,2016-01-01 06:00:00,153.6
2016-01-01 07:00:00,2016-01-01 07:00:00,149.01
2016-01-01 08:00:00,2016-01-01 08:00:00,149.04
2016-01-01 09:00:00,2016-01-01 09:00:00,151.02
2016-01-01 10:00:00,2016-01-01 10:00:00,141.24
2016-01-01 11:00:00,2016-01-01 11:00:00,138.24
2016-01-01 12:00:00,2016-01-01 12:00:00,141.99
2016-01-01 13:00:00,2016-01-01 13:00:00,140.97
2016-01-01 14:00:00,2016-01-01 14:00:00,141.78
2016-01-01 15:00:00,2016-01-01 15:00:00,135.78
2016-01-01 16:00:00,2016-01-01 16:00:00,141.36
2016-01-01 17:00:00,2016-01-01 17:00:00,143.49
2016-01-01 18:00:00,2016-01-01 18:00:00,148.47
2016-01-01 19:00:00,2016-01-01 19:00:00,145.62
2016-01-01 20:00:00,2016-01-01 20:00:00,153.72
2016-01-01 21:00:00,2016-01-01 21:00:00,149.94
2016-01-01 22:00:00,2016-01-01 22:00:00,149.49
2016-01-01 23:00:00,2016-01-01 23:00:00,155.73
2016-01-02 00:00:00,2016-01-02 00:00:00,147.48
2016-01-02 01:00:00,2016-01-02 01:00:00,155.64
2016-01-02 02:00:00,2016-01-02 02:00:00,150.09
2016-01-02 03:00:00,2016-01-02 03:00:00,149.19
2016-01-02 04:00:00,2016-01-02 04:00:00,150.36
2016-01-02 05:00:00,2016-01-02 05:00:00,152.79
2016-01-02 06:00:00,2016-01-02 06:00:00,150.99
2016-01-02 07:00:00,2016-01-02 07:00:00,155.19
2016-01-02 08:00:00,2016-01-02 08:00:00,146.43
2016-01-02 09:00:00,2016-01-02 09:00:00,140.97
2016-01-02 10:00:00,2016-01-02 10:00:00,142.41
2016-01-02 11:00:00,2016-01-02 11:00:00,136.35
2016-01-02 12:00:00,2016-01-02 12:00:00,141.12
2016-01-02 13:00:00,2016-01-02 13:00:00,136.71
2016-01-02 14:00:00,2016-01-02 14:00:00,136.38
2016-01-02 15:00:00,2016-01-02 15:00:00,136.14
2016-01-02 16:00:00,2016-01-02 16:00:00,139.14
2016-01-02 17:00:00,2016-01-02 17:00:00,140.79
2016-01-02 18:00:00,2016-01-02 18:00:00,145.02
2016-01-02 19:00:00,2016-01-02 19:00:00,153.48
2016-01-02 20:00:00,2016-01-02 20:00:00,144.72
2016-01-02 21:00:00,2016-01-02 21:00:00,145.5
2016-01-02 22:00:00,2016-01-02 22:00:00,149.64
2016-01-02 23:00:00,2016-01-02 23:00:00,149.61
2016-01-03 00:00:00,2016-01-03 00:00:00,145.83
2016-01-03 01:00:00,2016-01-03 01:00:00,152.91
2016-01-03 02:00:00,2016-01-03 02:00:00,148.8
2016-01-03 03:00:00,2016-01-03 03:00:00,153.93
2016-01-03 04:00:00,2016-01-03 04:00:00,153.84
2016-01-03 05:00:00,2016-01-03 05:00:00,154.74
2016-01-03 06:00:00,2016-01-03 06:00:00,154.5
2016-01-03 07:00:00,2016-01-03 07:00:00,152.61
2016-01-03 08:00:00,2016-01-03 08:00:00,150.81
2016-01-03 09:00:00,2016-01-03 09:00:00,148.98
2016-01-03 10:00:00,2016-01-03 10:00:00,148.62
2016-01-03 11:00:00,2016-01-03 11:00:00,141.87
2016-01-03 12:00:00,2016-01-03 12:00:00,149.01
2016-01-03 13:00:00,2016-01-03 13:00:00,144.3
2016-01-03 14:00:00,2016-01-03 14:00:00,141.48
2016-01-03 15:00:00,2016-01-03 15:00:00,145.08
2016-01-03 16:00:00,2016-01-03 16:00:00,144.96
2016-01-03 17:00:00,2016-01-03 17:00:00,141.45
2016-01-03 18:00:00,2016-01-03 18:00:00,144.6
2016-01-03 19:00:00,2016-01-03 19:00:00,150.75
2016-01-03 20:00:00,2016-01-03 20:00:00,153.87
2016-01-03 21:00:00,2016-01-03 21:00:00,149.85
2016-01-03 22:00:00,2016-01-03 22:00:00,155.13
2016-01-03 23:00:00,2016-01-03 23:00:00,155.13
2016-01-04 00:00:00,2016-01-04 00:00:00,155.97
2016-01-04 01:00:00,2016-01-04 01:00:00,158.61
2016-01-04 02:00:00,2016-01-04 02:00:00,154.14
2016-01-04 03:00:00,2016-01-04 03:00:00,155.16
2016-01-04 04:00:00,2016-01-04 04:00:00,154.53
2016-01-04 05:00:00,2016-01-04 05:00:00,150.06
2016-01-04 06:00:00,2016-01-04 06:00:00,159.69
2016-01-04 07:00:00,2016-01-04 07:00:00,161.28
2016-01-04 08:00:00,2016-01-04 08:00:00,160.26
2016-01-04 09:00:00,2016-01-04 09:00:00,155.79
2016-01-04 10:00:00,2016-01-04 10:00:00,150.0
2016-01-04 11:00:00,2016-01-04 11:00:00,148.86
2016-01-04 12:00:00,2016-01-04 12:00:00,153.81
2016-01-04 13:00:00,2016-01-04 13:00:00,148.98
2016-01-04 14:00:00,2016-01-04 14:00:00,154.56
2016-01-04 15:00:00,2016-01-04 15:00:00,155.94
2016-01-04 16:00:00,2016-01-04 16:00:00,154.05
2016-01-04 17:00:00,2016-01-04 17:00:00,158.34
2016-01-04 18:00:00,2016-01-04 18:00:00,165.0
2016-01-04 19:00:00,2016-01-04 19:00:00,165.21
2016-01-04 20:00:00,2016-01-04 20:00:00,163.47
2016-01-04 21:00:00,2016-01-04 21:00:00,161.82
2016-01-04 22:00:00,2016-01-04 22:00:00,160.98
2016-01-04 23:00:00,2016-01-04 23:00:00,160.89
2016-01-05 00:00:00,2016-01-05 00:00:00,164.43
2016-01-05 01:00:00,2016-01-05 01:00:00,162.03
2016-01-05 02:00:00,2016-01-05 02:00:00,160.95
2016-01-05 03:00:00,2016-01-05 03:00:00,161.79
2016-01-05 04:00:00,2016-01-05 04:00:00,162.9
2016-01-05 05:00:00,2016-01-05 05:00:00,168.39
2016-01-05 06:00:00,2016-01-05 06:00:00,165.24
2016-01-05 07:00:00,2016-01-05 07:00:00,167.52
2016-01-05 08:00:00,2016-01-05 08:00:00,170.07
2016-01-05 09:00:00,2016-01-05 09:00:00,163.26
2016-01-05 10:00:00,2016-01-05 10:00:00,158.34
2016-01-05 11:00:00,2016-01-05 11:00:00,163.74
2016-01-05 12:00:00,2016-01-05 12:00:00,155.82
2016-01-05 13:00:00,2016-01-05 13:00:00,157.23
2016-01-05 14:00:00,2016-01-05 14:00:00,154.14
2016-01-05 15:00:00,2016-01-05 15:00:00,154.62
2016-01-05 16:00:00,2016-01-05 16:00:00,152.79
2016-01-05 17:00:00,2016-01-05 17:00:00,160.56
2016-01-05 18:00:00,2016-01-05 18:00:00,159.57
2016-01-05 19:00:00,2016-01-05 19:00:00,163.47
2016-01-05 20:00:00,2016-01-05 20:00:00,163.74
2016-01-05 21:00:00,2016-01-05 21:00:00,164.46
2016-01-05 22:00:00,2016-01-05 22:00:00,165.21
2016-01-05 23:00:00,2016-01-05 23:00:00,161.64
2016-01-06 00:00:00,2016-01-06 00:00:00,165.87
2016-01-06 01:00:00,2016-01-06 01:00:00,167.94
2016-01-06 02:00:00,2016-01-06 02:00:00,168.69
2016-01-06 03:00:00,2016-01-06 03:00:00,166.47
2016-01-06 04:00:00,2016-01-06 04:00:00,168.84
2016-01-06 05:00:00,2016-01-06 05:00:00,166.86
2016-01-06 06:00:00,2016-01-06 06:00:00,167.85
2016-01-06 07:00:00,2016-01-06 07:00:00,168.15
2016-01-06 08:00:00,2016-01-06 08:00:00,162.33
2016-01-06 09:00:00,2016-01-06 09:00:00,158.61
2016-01-06 10:00:00,2016-01-06 10:00:00,155.76
2016-01-06 11:00:00,2016-01-06 11:00:00,162.15
2016-01-06 12:00:00,2016-01-06 12:00:00,158.67
2016-01-06 13:00:00,2016-01-06 13:00:00,159.3
2016-01-06 14:00:00,2016-01-06 14:00:00,165.18
2016-01-06 15:00:00,2016-01-06 15:00:00,171.57
2016-01-06 16:00:00,2016-01-06 16:00:00,165.42
2016-01-06 17:00:00,2016-01-06 17:00:00,163.56
2016-01-06 18:00:00,2016-01-06 18:00:00,169.29
2016-01-06 19:00:00,2016-01-06 19:00:00,171.3
2016-01-06 20:00:00,2016-01-06 20:00:00,168.54
2016-01-06 21:00:00,2016-01-06 21:00:00,171.21
2016-01-06 22:00:00,2016-01-06 22:00:00,168.96
2016-01-06 23:00:00,2016-01-06 23:00:00,171.18
2016-01-07 00:00:00,2016-01-07 00:00:00,170.34
2016-01-07 01:00:00,2016-01-07 01:00:00,166.38
