timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,324.75
2016-01-01 01:00:00,2016-01-01 01:00:00,624.75
2016-01-01 02:00:00,2016-01-01 02:00:00,626.5
2016-01-01 03:00:00,2016-01-01 03:00:00,630.25
2016-01-01 04:00:00,2016-01-01 04:00:00,635.0
2016-01-01 05:00:00,2016-01-01 05:00:00,626.5
2016-01-01 06:00:00,2016-01-01 06:00:00,631.5
2016-01-01 07:00:00,2016-01-01 07:00:00,685.25
2016-01-01 08:00:00,2016-01-01 08:00:00,726.75
2016-01-01 09:00:00,2016-01-01 09:00:00,745.75
2016-01-01 10:00:00,2016-01-01 10:00:00,752.75
2016-01-01 11:00:00,2016-01-01 11:00:00,738.75
2016-01-01 12:00:00,2016-01-01 12:00:00,745.0
2016-01-01 13:00:00,2016-01-01 13:00:00,755.75
2016-01-01 14:00:00,2016-01-01 14:00:00,745.75
2016-01-01 15:00:00,2016-01-01 15:00:00,749.25
2016-01-01 16:00:00,2016-01-01 16:00:00,738.5
2016-01-01 17:00:00,2016-01-01 17:00:00,744.75
2016-01-01 18:00:00,2016-01-01 18:00:00,726.5
2016-01-01 19:00:00,2016-01-01 19:00:00,668.25
2016-01-01 20:00:00,2016-01-01 20:00:00,629.0
2016-01-01 21:00:00,2016-01-01 21:00:00,630.25
2016-01-01 22:00:00,2016-01-01 22:00:00,625.0
2016-01-01 23:00:00,2016-01-01 23:00:00,623.75
2016-01-02 00:00:00,2016-01-02 00:00:00,530.5
2016-01-02 01:00:00,2016-01-02 01:00:00,729.0
2016-01-02 02:00:00,2016-01-02 02:00:00,614.25
2016-01-02 03:00:00,2016-01-02 03:00:00,618.0
2016-01-02 04:00:00,2016-01-02 04:00:00,623.0
2016-01-02 05:00:00,2016-01-02 05:00:00,613.5
2016-01-02 06:00:00,2016-01-02 06:00:00,610.25
2016-01-02 07:00:00,2016-01-02 07:00:00,630.75
2016-01-02 08:00:00,2016-01-02 08:00:00,694.25
2016-01-02 09:00:00,2016-01-02 09:00:00,739.0
2016-01-02 10:00:00,2016-01-02 10:00:00,744.0
2016-01-02 11:00:00,2016-01-02 11:00:00,746.5
2016-01-02 12:00:00,2016-01-02 12:00:00,748.5
2016-01-02 13:00:00,2016-01-02 13:00:00,745.0
2016-01-02 14:00:00,2016-01-02 14:00:00,738.75
2016-01-02 15:00:00,2016-01-02 15:00:00,753.25
2016-01-02 16:00:00,2016-01-02 16:00:00,755.25
2016-01-02 17:00:00,2016-01-02 17:00:00,742.75
2016-01-02 18:00:00,2016-01-02 18:00:00,728.75
2016-01-02 19:00:00,2016-01-02 19:00:00,728.5
2016-01-02 20:00:00,2016-01-02 20:00:00,653.75
2016-01-02 21:00:00,2016-01-02 21:00:00,643.75
2016-01-02 22:00:00,2016-01-02 22:00:00,636.5
2016-01-02 23:00:00,2016-01-02 23:00:00,634.25
2016-01-03 00:00:00,2016-01-03 00:00:00,625.75
2016-01-03 01:00:00,2016-01-03 01:00:00,624.25
2016-01-03 02:00:00,2016-01-03 02:00:00,627.75
2016-01-03 03:00:00,2016-01-03 03:00:00,621.75
2016-01-03 04:00:00,2016-01-03 04:00:00,634.0
2016-01-03 05:00:00,2016-01-03 05:00:00,635.25
2016-01-03 06:00:00,2016-01-03 06:00:00,619.0
2016-01-03 07:00:00,2016-01-03 07:00:00,640.5
2016-01-03 08:00:00,2016-01-03 08:00:00,698.0
2016-01-03 09:00:00,2016-01-03 09:00:00,713.75
2016-01-03 10:00:00,2016-01-03 10:00:00,722.75
2016-01-03 11:00:00,2016-01-03 11:00:00,730.75
2016-01-03 12:00:00,2016-01-03 12:00:00,726.0
2016-01-03 13:00:00,2016-01-03 13:00:00,729.25
2016-01-03 14:00:00,2016-01-03 14:00:00,742.5
2016-01-03 15:00:00,2016-01-03 15:00:00,739.0
2016-01-03 16:00:00,2016-01-03 16:00:00,745.25
2016-01-03 17:00:00,2016-01-03 17:00:00,744.5
2016-01-03 18:00:00,2016-01-03 18:00:00,734.25
2016-01-03 19:00:00,2016-01-03 19:00:00,718.0
2016-01-03 20:00:00,2016-01-03 20:00:00,640.75
2016-01-03 21:00:00,2016-01-03 21:00:00,635.0
2016-01-03 22:00:00,2016-01-03 22:00:00,628.5
2016-01-03 23:00:00,2016-01-03 23:00:00,638.25
2016-01-04 00:00:00,2016-01-04 00:00:00,624.25
2016-01-04 01:00:00,2016-01-04 01:00:00,610.75
2016-01-04 02:00:00,2016-01-04 02:00:00,614.25
2016-01-04 03:00:00,2016-01-04 03:00:00,623.25
2016-01-04 04:00:00,2016-01-04 04:00:00,619.25
2016-01-04 05:00:00,2016-01-04 05:00:00,633.0
2016-01-04 06:00:00,2016-01-04 06:00:00,670.0
2016-01-04 07:00:00,2016-01-04 07:00:00,696.25
2016-01-04 08:00:00,2016-01-04 08:00:00,758.5
2016-01-04 09:00:00,2016-01-04 09:00:00,819.25
2016-01-04 10:00:00,2016-01-04 10:00:00,868.5
2016-01-04 11:00:00,2016-01-04 11:00:00,907.0
2016-01-04 12:00:00,2016-01-04 12:00:00,793.0
2016-01-04 13:00:00,2016-01-04 13:00:00,770.5
2016-01-04 14:00:00,2016-01-04 14:00:00,814.75
2016-01-04 15:00:00,2016-01-04 15:00:00,842.5
2016-01-04 16:00:00,2016-01-04 16:00:00,875.75
2016-01-04 17:00:00,2016-01-04 17:00:00,861.0
2016-01-04 18:00:00,2016-01-04 18:00:00,831.25
2016-01-04 19:00:00,2016-01-04 19:00:00,807.5
2016-01-04 20:00:00,2016-01-04 20:00:00,677.75
2016-01-04 21:00:00,2016-01-04 21:00:00,661.5
2016-01-04 22:00:00,2016-01-04 22:00:00,643.75
2016-01-04 23:00:00,2016-01-04 23:00:00,634.0
2016-01-05 00:00:00,2016-01-05 00:00:00,646.625
2016-01-05 01:00:00,2016-01-05 01:00:00,621.125
2016-01-05 02:00:00,2016-01-05 02:00:00,616.5
2016-01-05 03:00:00,2016-01-05 03:00:00,609.0
2016-01-05 04:00:00,2016-01-05 04:00:00,616.5
2016-01-05 05:00:00,2016-01-05 05:00:00,617.5
2016-01-05 06:00:00,2016-01-05 06:00:00,670.5
2016-01-05 07:00:00,2016-01-05 07:00:00,699.0
2016-01-05 08:00:00,2016-01-05 08:00:00,766.75
2016-01-05 09:00:00,2016-01-05 09:00:00,821.75
2016-01-05 10:00:00,2016-01-05 10:00:00,882.5
2016-01-05 11:00:00,2016-01-05 11:00:00,919.5
2016-01-05 12:00:00,2016-01-05 12:00:00,939.75
2016-01-05 13:00:00,2016-01-05 13:00:00,964.25
2016-01-05 14:00:00,2016-01-05 14:00:00,966.5
2016-01-05 15:00:00,2016-01-05 15:00:00,968.25
2016-01-05 16:00:00,2016-01-05 16:00:00,953.75
2016-01-05 17:00:00,2016-01-05 17:00:00,918.5
2016-01-05 18:00:00,2016-01-05 18:00:00,882.0
2016-01-05 19:00:00,2016-01-05 19:00:00,827.25
2016-01-05 20:00:00,2016-01-05 20:00:00,711.5
2016-01-05 21:00:00,2016-01-05 21:00:00,701.75
2016-01-05 22:00:00,2016-01-05 22:00:00,675.0
2016-01-05 23:00:00,2016-01-05 23:00:00,661.5
2016-01-06 00:00:00,2016-01-06 00:00:00,741.2771
2016-01-06 01:00:00,2016-01-06 01:00:00,828.0543
2016-01-06 02:00:00,2016-01-06 02:00:00,828.0543
2016-01-06 03:00:00,2016-01-06 03:00:00,828.0543
2016-01-06 04:00:00,2016-01-06 04:00:00,828.0543
2016-01-06 05:00:00,2016-01-06 05:00:00,828.0543
2016-01-06 06:00:00,2016-01-06 06:00:00,828.0543
2016-01-06 07:00:00,2016-01-06 07:00:00,828.0543
2016-01-06 08:00:00,2016-01-06 08:00:00,828.0543
2016-01-06 09:00:00,2016-01-06 09:00:00,828.0543
2016-01-06 10:00:00,2016-01-06 10:00:00,828.0543
2016-01-06 11:00:00,2016-01-06 11:00:00,828.0543
2016-01-06 12:00:00,2016-01-06 12:00:00,828.0543
2016-01-06 13:00:00,2016-01-06 13:00:00,828.0543
2016-01-06 14:00:00,2016-01-06 14:00:00,828.0543
2016-01-06 15:00:00,2016-01-06 15:00:00,828.0543
2016-01-06 16:00:00,2016-01-06 16:00:00,828.0543
2016-01-06 17:00:00,2016-01-06 17:00:00,828.0543
2016-01-06 18:00:00,2016-01-06 18:00:00,828.0543
2016-01-06 19:00:00,2016-01-06 19:00:00,828.0543
2016-01-06 20:00:00,2016-01-06 20:00:00,828.0543
2016-01-06 21:00:00,2016-01-06 21:00:00,828.0543
2016-01-06 22:00:00,2016-01-06 22:00:00,828.0543
2016-01-06 23:00:00,2016-01-06 23:00:00,828.0543
2016-01-07 00:00:00,2016-01-07 00:00:00,828.0543
2016-01-07 01:00:00,2016-01-07 01:00:00,828.0543
2016-01-07 02:00:00,2016-01-07 02:00:00,828.0543
2016-01-07 03:00:00,2016-01-07 03:00:00,828.0543
2016-01-07 04:00:00,2016-01-07 04:00:00,828.0543
2016-01-07 05:00:00,2016-01-07 05:00:00,828.0543
2016-01-07 06:00:00,2016-01-07 06:00:00,828.0543
2016-01-07 07:00:00,2016-01-07 07:00:00,828.0543
2016-01-07 08:00:00,2016-01-07 08:00:00,828.0543
2016-01-07 09:00:00,2016-01-07 09:00:00,828.0543
2016-01-07 10:00:00,2016-01-07 10:00:00,828.0543
2016-01-07 11:00:00,2016-01-07 11:00:00,828.0543
2016-01-07 12:00:00,2016-01-07 12:00:00,828.0543
2016-01-07 13:00:00,2016-01-07 13:00:00,828.0543
2016-01-07 14:00:00,2016-01-07 14:00:00,828.0543
2016-01-07 15:00:00,2016-01-07 15:00:00,828.0543
2016-01-07 16:00:00,2016-01-07 16:00:00,828.0543
2016-01-07 17:00:00,2016-01-07 17:00:00,828.0543
2016-01-07 18:00:00,2016-01-07 18:00:00,828.0543
2016-01-07 19:00:00,2016-01-07 19:00:00,828.0543
2016-01-07 20:00:00,2016-01-07 20:00:00,828.0543
2016-01-07 21:00:00,2016-01-07 21:00:00,828.0543
2016-01-07 22:00:00,2016-01-07 22:00:00,828.0543
2016-01-07 23:00:00,2016-01-07 23:00:00,828.0543
2016-01-08 00:00:00,2016-01-08 00:00:00,828.0543
2016-01-08 01:00:00,2016-01-08 01:00:00,828.0543
2016-01-08 02:00:00,2016-01-08 02:00:00,828.0543
2016-01-08 03:00:00,2016-01-08 03:00:00,828.0543
2016-01-08 04:00:00,2016-01-08 04:00:00,828.0543
2016-01-08 05:00:00,2016-01-08 05:00:00,828.0543
2016-01-08 06:00:00,2016-01-08 06:00:00,828.0543
2016-01-08 07:00:00,2016-01-08 07:00:00,828.0543
2016-01-08 08:00:00,2016-01-08 08:00:00,828.0543
2016-01-08 09:00:00,2016-01-08 09:00:00,828.0543
2016-01-08 10:00:00,2016-01-08 10:00:00,828.0543
2016-01-08 11:00:00,2016-01-08 11:00:00,828.0543
2016-01-08 12:00:00,2016-01-08 12:00:00,828.0543
2016-01-08 13:00:00,2016-01-08 13:00:00,828.0543
2016-01-08 14:00:00,2016-01-08 14:00:00,828.0543
2016-01-08 15:00:00,2016-01-08 15:00:00,828.0543
2016-01-08 16:00:00,2016-01-08 16:00:00,828.0543
