timestamp,timestamp,meter_reading
2017-01-01 01:00:00,2017-01-01 01:00:00,102.8056
2017-01-01 02:00:00,2017-01-01 02:00:00,102.8778
2017-01-01 03:00:00,2017-01-01 03:00:00,102.0806
2017-01-01 04:00:00,2017-01-01 04:00:00,101.2083
2017-01-01 05:00:00,2017-01-01 05:00:00,102.4528
2017-01-01 06:00:00,2017-01-01 06:00:00,101.6472
2017-01-01 07:00:00,2017-01-01 07:00:00,101.1306
2017-01-01 08:00:00,2017-01-01 08:00:00,116.9417
2017-01-01 09:00:00,2017-01-01 09:00:00,148.275
2017-01-01 10:00:00,2017-01-01 10:00:00,151.5056
2017-01-01 11:00:00,2017-01-01 11:00:00,153.5361
2017-01-01 12:00:00,2017-01-01 12:00:00,153.5167
2017-01-01 13:00:00,2017-01-01 13:00:00,154.2361
2017-01-01 14:00:00,2017-01-01 14:00:00,154.275
2017-01-01 15:00:00,2017-01-01 15:00:00,155.1472
2017-01-01 16:00:00,2017-01-01 16:00:00,154.9917
2017-01-01 17:00:00,2017-01-01 17:00:00,154.1056
2017-01-01 18:00:00,2017-01-01 18:00:00,152.7583
2017-01-01 19:00:00,2017-01-01 19:00:00,148.7694
2017-01-01 20:00:00,2017-01-01 20:00:00,118.45
2017-01-01 21:00:00,2017-01-01 21:00:00,105.8333
2017-01-01 22:00:00,2017-01-01 22:00:00,99.0194
2017-01-01 23:00:00,2017-01-01 23:00:00,100.3694
2017-01-02 00:00:00,2017-01-02 00:00:00,101.7306
2017-01-02 01:00:00,2017-01-02 01:00:00,100.925
2017-01-02 02:00:00,2017-01-02 02:00:00,101.7833
2017-01-02 03:00:00,2017-01-02 03:00:00,100.7167
2017-01-02 04:00:00,2017-01-02 04:00:00,100.1278
2017-01-02 05:00:00,2017-01-02 05:00:00,99.5694
2017-01-02 06:00:00,2017-01-02 06:00:00,101.0556
2017-01-02 07:00:00,2017-01-02 07:00:00,108.0306
2017-01-02 08:00:00,2017-01-02 08:00:00,140.8722
2017-01-02 09:00:00,2017-01-02 09:00:00,147.2361
2017-01-02 10:00:00,2017-01-02 10:00:00,146.5194
2017-01-02 11:00:00,2017-01-02 11:00:00,147.3556
2017-01-02 12:00:00,2017-01-02 12:00:00,149.3472
2017-01-02 13:00:00,2017-01-02 13:00:00,150.8028
2017-01-02 14:00:00,2017-01-02 14:00:00,150.3083
2017-01-02 15:00:00,2017-01-02 15:00:00,149.1
2017-01-02 16:00:00,2017-01-02 16:00:00,149.3222
2017-01-02 17:00:00,2017-01-02 17:00:00,150.6889
2017-01-02 18:00:00,2017-01-02 18:00:00,151.7306
2017-01-02 19:00:00,2017-01-02 19:00:00,147.1194
2017-01-02 20:00:00,2017-01-02 20:00:00,114.8139
2017-01-02 21:00:00,2017-01-02 21:00:00,103.5611
2017-01-02 22:00:00,2017-01-02 22:00:00,98.7167
2017-01-02 23:00:00,2017-01-02 23:00:00,99.4722
2017-01-03 00:00:00,2017-01-03 00:00:00,99.1194
2017-01-03 01:00:00,2017-01-03 01:00:00,97.7778
2017-01-03 02:00:00,2017-01-03 02:00:00,96.9583
2017-01-03 03:00:00,2017-01-03 03:00:00,95.8444
2017-01-03 04:00:00,2017-01-03 04:00:00,95.7306
2017-01-03 05:00:00,2017-01-03 05:00:00,94.5972
