timestamp,timestamp,meter_reading
2017-01-03 07:00:00,2017-01-03 07:00:00,1398.7886
2017-01-03 09:00:00,2017-01-03 09:00:00,107.0478
2017-01-03 10:00:00,2017-01-03 10:00:00,106.2544
2017-01-03 11:00:00,2017-01-03 11:00:00,104.0428
2017-01-03 12:00:00,2017-01-03 12:00:00,104.805
2017-01-03 13:00:00,2017-01-03 13:00:00,103.1058
2017-01-03 14:00:00,2017-01-03 14:00:00,100.5111
2017-01-03 15:00:00,2017-01-03 15:00:00,97.6839
2017-01-03 16:00:00,2017-01-03 16:00:00,93.8714
2017-01-03 17:00:00,2017-01-03 17:00:00,97.7644
2017-01-03 18:00:00,2017-01-03 18:00:00,98.155
2017-01-03 19:00:00,2017-01-03 19:00:00,91.7672
2017-01-03 20:00:00,2017-01-03 20:00:00,85.5075
2017-01-03 21:00:00,2017-01-03 21:00:00,85.6778
2017-01-03 22:00:00,2017-01-03 22:00:00,82.1892
2017-01-03 23:00:00,2017-01-03 23:00:00,75.6522
2017-01-04 00:00:00,2017-01-04 00:00:00,74.0708
2017-01-04 01:00:00,2017-01-04 01:00:00,71.2036
2017-01-04 02:00:00,2017-01-04 02:00:00,69.2031
2017-01-04 03:00:00,2017-01-04 03:00:00,68.7739
2017-01-04 04:00:00,2017-01-04 04:00:00,68.9947
2017-01-04 05:00:00,2017-01-04 05:00:00,69.1303
2017-01-04 06:00:00,2017-01-04 06:00:00,84.8147
2017-01-04 07:00:00,2017-01-04 07:00:00,125.8667
2017-01-04 08:00:00,2017-01-04 08:00:00,151.6444
2017-01-04 09:00:00,2017-01-04 09:00:00,162.0767
2017-01-04 10:00:00,2017-01-04 10:00:00,167.9169
2017-01-04 11:00:00,2017-01-04 11:00:00,168.5917
2017-01-04 12:00:00,2017-01-04 12:00:00,169.7003
2017-01-04 13:00:00,2017-01-04 13:00:00,167.4947
2017-01-04 14:00:00,2017-01-04 14:00:00,162.0889
2017-01-04 15:00:00,2017-01-04 15:00:00,165.2914
2017-01-04 16:00:00,2017-01-04 16:00:00,156.4933
2017-01-04 17:00:00,2017-01-04 17:00:00,153.7081
2017-01-04 18:00:00,2017-01-04 18:00:00,145.1572
2017-01-04 19:00:00,2017-01-04 19:00:00,138.8069
2017-01-04 20:00:00,2017-01-04 20:00:00,134.3994
2017-01-04 21:00:00,2017-01-04 21:00:00,133.4528
2017-01-04 22:00:00,2017-01-04 22:00:00,128.8167
2017-01-04 23:00:00,2017-01-04 23:00:00,119.3275
2017-01-05 00:00:00,2017-01-05 00:00:00,100.6003
2017-01-05 01:00:00,2017-01-05 01:00:00,85.9236
2017-01-05 02:00:00,2017-01-05 02:00:00,76.0828
2017-01-05 03:00:00,2017-01-05 03:00:00,72.5989
2017-01-05 04:00:00,2017-01-05 04:00:00,72.6494
2017-01-05 05:00:00,2017-01-05 05:00:00,72.6631
2017-01-05 06:00:00,2017-01-05 06:00:00,88.6717
2017-01-05 07:00:00,2017-01-05 07:00:00,123.5183
2017-01-05 08:00:00,2017-01-05 08:00:00,150.4317
2017-01-05 09:00:00,2017-01-05 09:00:00,162.5686
2017-01-05 10:00:00,2017-01-05 10:00:00,174.3183
2017-01-05 11:00:00,2017-01-05 11:00:00,179.2764
2017-01-05 12:00:00,2017-01-05 12:00:00,172.8397
2017-01-05 13:00:00,2017-01-05 13:00:00,167.2889
2017-01-05 14:00:00,2017-01-05 14:00:00,173.775
2017-01-05 15:00:00,2017-01-05 15:00:00,173.765
2017-01-05 16:00:00,2017-01-05 16:00:00,161.2747
2017-01-05 17:00:00,2017-01-05 17:00:00,155.9292
2017-01-05 18:00:00,2017-01-05 18:00:00,144.1053
2017-01-05 19:00:00,2017-01-05 19:00:00,138.8739
2017-01-05 20:00:00,2017-01-05 20:00:00,123.8497
2017-01-05 21:00:00,2017-01-05 21:00:00,117.5519
2017-01-05 22:00:00,2017-01-05 22:00:00,104.3336
2017-01-05 23:00:00,2017-01-05 23:00:00,96.7594
2017-01-06 00:00:00,2017-01-06 00:00:00,89.5681
2017-01-06 01:00:00,2017-01-06 01:00:00,76.5217
2017-01-06 02:00:00,2017-01-06 02:00:00,71.2733
2017-01-06 03:00:00,2017-01-06 03:00:00,69.895
2017-01-06 04:00:00,2017-01-06 04:00:00,69.3853
2017-01-06 05:00:00,2017-01-06 05:00:00,70.0536
2017-01-06 06:00:00,2017-01-06 06:00:00,85.2847
