timestamp,timestamp,meter_reading
2017-01-03 09:00:00,2017-01-03 09:00:00,118.8658
2017-01-03 10:00:00,2017-01-03 10:00:00,120.1194
2017-01-03 11:00:00,2017-01-03 11:00:00,123.0283
2017-01-03 12:00:00,2017-01-03 12:00:00,123.8356
2017-01-03 13:00:00,2017-01-03 13:00:00,123.2308
2017-01-03 14:00:00,2017-01-03 14:00:00,125.6767
2017-01-03 15:00:00,2017-01-03 15:00:00,126.5261
2017-01-03 16:00:00,2017-01-03 16:00:00,128.7583
2017-01-03 17:00:00,2017-01-03 17:00:00,128.9486
2017-01-03 18:00:00,2017-01-03 18:00:00,126.9942
2017-01-03 19:00:00,2017-01-03 19:00:00,127.4136
2017-01-03 20:00:00,2017-01-03 20:00:00,122.7325
2017-01-03 21:00:00,2017-01-03 21:00:00,116.8536
2017-01-03 22:00:00,2017-01-03 22:00:00,107.6619
2017-01-03 23:00:00,2017-01-03 23:00:00,105.0756
2017-01-04 00:00:00,2017-01-04 00:00:00,107.1525
2017-01-04 01:00:00,2017-01-04 01:00:00,108.2375
2017-01-04 02:00:00,2017-01-04 02:00:00,107.6206
2017-01-04 03:00:00,2017-01-04 03:00:00,106.8428
2017-01-04 04:00:00,2017-01-04 04:00:00,106.2675
2017-01-04 05:00:00,2017-01-04 05:00:00,105.1389
2017-01-04 06:00:00,2017-01-04 06:00:00,121.0633
2017-01-04 07:00:00,2017-01-04 07:00:00,145.1892
2017-01-04 08:00:00,2017-01-04 08:00:00,140.8694
2017-01-04 09:00:00,2017-01-04 09:00:00,146.1317
2017-01-04 10:00:00,2017-01-04 10:00:00,151.4881
2017-01-04 11:00:00,2017-01-04 11:00:00,149.6625
2017-01-04 12:00:00,2017-01-04 12:00:00,145.6136
2017-01-04 13:00:00,2017-01-04 13:00:00,143.1161
2017-01-04 14:00:00,2017-01-04 14:00:00,139.865
2017-01-04 15:00:00,2017-01-04 15:00:00,142.03
2017-01-04 16:00:00,2017-01-04 16:00:00,142.0872
2017-01-04 17:00:00,2017-01-04 17:00:00,136.7506
2017-01-04 18:00:00,2017-01-04 18:00:00,131.7022
2017-01-04 19:00:00,2017-01-04 19:00:00,129.5378
2017-01-04 20:00:00,2017-01-04 20:00:00,126.5319
2017-01-04 21:00:00,2017-01-04 21:00:00,118.0278
2017-01-04 22:00:00,2017-01-04 22:00:00,112.3472
2017-01-04 23:00:00,2017-01-04 23:00:00,112.3161
2017-01-05 00:00:00,2017-01-05 00:00:00,112.2317
2017-01-05 01:00:00,2017-01-05 01:00:00,112.0547
2017-01-05 02:00:00,2017-01-05 02:00:00,111.5475
2017-01-05 03:00:00,2017-01-05 03:00:00,110.6511
2017-01-05 04:00:00,2017-01-05 04:00:00,111.2117
2017-01-05 05:00:00,2017-01-05 05:00:00,111.7458
2017-01-05 06:00:00,2017-01-05 06:00:00,119.5489
2017-01-05 07:00:00,2017-01-05 07:00:00,129.2264
2017-01-05 08:00:00,2017-01-05 08:00:00,131.6953
2017-01-05 09:00:00,2017-01-05 09:00:00,139.6833
2017-01-05 10:00:00,2017-01-05 10:00:00,148.9053
2017-01-05 11:00:00,2017-01-05 11:00:00,153.0658
2017-01-05 12:00:00,2017-01-05 12:00:00,146.4686
2017-01-05 13:00:00,2017-01-05 13:00:00,140.4822
2017-01-05 14:00:00,2017-01-05 14:00:00,143.9242
2017-01-05 15:00:00,2017-01-05 15:00:00,146.9422
2017-01-05 16:00:00,2017-01-05 16:00:00,145.1339
2017-01-05 17:00:00,2017-01-05 17:00:00,140.9019
2017-01-05 18:00:00,2017-01-05 18:00:00,139.8058
2017-01-05 19:00:00,2017-01-05 19:00:00,133.6547
2017-01-05 20:00:00,2017-01-05 20:00:00,130.2733
2017-01-05 21:00:00,2017-01-05 21:00:00,124.2903
2017-01-05 22:00:00,2017-01-05 22:00:00,115.3
2017-01-05 23:00:00,2017-01-05 23:00:00,114.3847
2017-01-06 00:00:00,2017-01-06 00:00:00,114.8242
2017-01-06 01:00:00,2017-01-06 01:00:00,115.0836
2017-01-06 02:00:00,2017-01-06 02:00:00,119.1156
2017-01-06 03:00:00,2017-01-06 03:00:00,118.7881
2017-01-06 04:00:00,2017-01-06 04:00:00,119.2319
2017-01-06 05:00:00,2017-01-06 05:00:00,120.5633
2017-01-06 06:00:00,2017-01-06 06:00:00,125.1725
2017-01-06 07:00:00,2017-01-06 07:00:00,133.6475
2017-01-06 08:00:00,2017-01-06 08:00:00,157.7356
