timestamp,timestamp,meter_reading
2017-01-03 09:00:00,2017-01-03 09:00:00,107.2047
2017-01-03 10:00:00,2017-01-03 10:00:00,106.3122
2017-01-03 11:00:00,2017-01-03 11:00:00,107.2158
2017-01-03 12:00:00,2017-01-03 12:00:00,107.3739
2017-01-03 13:00:00,2017-01-03 13:00:00,107.5681
2017-01-03 14:00:00,2017-01-03 14:00:00,108.2975
2017-01-03 15:00:00,2017-01-03 15:00:00,109.3444
2017-01-03 16:00:00,2017-01-03 16:00:00,109.5611
2017-01-03 17:00:00,2017-01-03 17:00:00,107.6836
2017-01-03 18:00:00,2017-01-03 18:00:00,98.4583
2017-01-03 19:00:00,2017-01-03 19:00:00,94.1783
2017-01-03 20:00:00,2017-01-03 20:00:00,95.1931
2017-01-03 21:00:00,2017-01-03 21:00:00,98.0664
2017-01-03 22:00:00,2017-01-03 22:00:00,80.1503
2017-01-03 23:00:00,2017-01-03 23:00:00,61.1419
2017-01-04 00:00:00,2017-01-04 00:00:00,60.1914
2017-01-04 01:00:00,2017-01-04 01:00:00,54.7961
2017-01-04 02:00:00,2017-01-04 02:00:00,45.1314
2017-01-04 03:00:00,2017-01-04 03:00:00,41.2814
2017-01-04 04:00:00,2017-01-04 04:00:00,67.2019
2017-01-04 05:00:00,2017-01-04 05:00:00,104.1636
2017-01-04 06:00:00,2017-01-04 06:00:00,110.2289
2017-01-04 07:00:00,2017-01-04 07:00:00,110.5803
2017-01-04 08:00:00,2017-01-04 08:00:00,114.9186
2017-01-04 09:00:00,2017-01-04 09:00:00,120.075
2017-01-04 10:00:00,2017-01-04 10:00:00,123.4328
2017-01-04 11:00:00,2017-01-04 11:00:00,125.3422
2017-01-04 12:00:00,2017-01-04 12:00:00,125.5311
2017-01-04 13:00:00,2017-01-04 13:00:00,127.175
2017-01-04 14:00:00,2017-01-04 14:00:00,127.2858
2017-01-04 15:00:00,2017-01-04 15:00:00,126.2231
2017-01-04 16:00:00,2017-01-04 16:00:00,123.9692
2017-01-04 17:00:00,2017-01-04 17:00:00,120.1114
2017-01-04 18:00:00,2017-01-04 18:00:00,112.1039
2017-01-04 19:00:00,2017-01-04 19:00:00,108.1869
2017-01-04 20:00:00,2017-01-04 20:00:00,100.2878
2017-01-04 21:00:00,2017-01-04 21:00:00,94.0036
2017-01-04 22:00:00,2017-01-04 22:00:00,72.3772
2017-01-04 23:00:00,2017-01-04 23:00:00,52.4708
2017-01-05 00:00:00,2017-01-05 00:00:00,49.4528
2017-01-05 01:00:00,2017-01-05 01:00:00,46.1019
2017-01-05 02:00:00,2017-01-05 02:00:00,44.8242
2017-01-05 03:00:00,2017-01-05 03:00:00,44.4089
2017-01-05 04:00:00,2017-01-05 04:00:00,67.8478
2017-01-05 05:00:00,2017-01-05 05:00:00,101.9422
2017-01-05 06:00:00,2017-01-05 06:00:00,108.0739
2017-01-05 07:00:00,2017-01-05 07:00:00,108.3542
2017-01-05 08:00:00,2017-01-05 08:00:00,110.5131
2017-01-05 09:00:00,2017-01-05 09:00:00,114.7133
2017-01-05 10:00:00,2017-01-05 10:00:00,119.7378
2017-01-05 11:00:00,2017-01-05 11:00:00,122.8233
2017-01-05 12:00:00,2017-01-05 12:00:00,123.2522
2017-01-05 13:00:00,2017-01-05 13:00:00,123.2678
2017-01-05 14:00:00,2017-01-05 14:00:00,124.7917
