timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,151.92
2016-01-01 01:00:00,2016-01-01 01:00:00,154.9875
2016-01-01 02:00:00,2016-01-01 02:00:00,152.3475
2016-01-01 03:00:00,2016-01-01 03:00:00,145.705
2016-01-01 04:00:00,2016-01-01 04:00:00,165.185
2016-01-01 05:00:00,2016-01-01 05:00:00,346.495
2016-01-01 06:00:00,2016-01-01 06:00:00,433.9675
2016-01-01 07:00:00,2016-01-01 07:00:00,348.2175
2016-01-01 08:00:00,2016-01-01 08:00:00,398.54
2016-01-01 09:00:00,2016-01-01 09:00:00,403.7625
2016-01-01 10:00:00,2016-01-01 10:00:00,392.245
2016-01-01 11:00:00,2016-01-01 11:00:00,411.2625
2016-01-01 12:00:00,2016-01-01 12:00:00,446.705
2016-01-01 13:00:00,2016-01-01 13:00:00,472.315
2016-01-01 14:00:00,2016-01-01 14:00:00,427.135
2016-01-01 15:00:00,2016-01-01 15:00:00,397.655
2016-01-01 16:00:00,2016-01-01 16:00:00,401.155
2016-01-01 17:00:00,2016-01-01 17:00:00,402.7125
2016-01-01 18:00:00,2016-01-01 18:00:00,354.045
2016-01-01 19:00:00,2016-01-01 19:00:00,359.6525
2016-01-01 20:00:00,2016-01-01 20:00:00,330.055
2016-01-01 21:00:00,2016-01-01 21:00:00,236.0725
2016-01-01 22:00:00,2016-01-01 22:00:00,164.48
2016-01-01 23:00:00,2016-01-01 23:00:00,150.3175
2016-01-02 00:00:00,2016-01-02 00:00:00,189.08
2016-01-02 01:00:00,2016-01-02 01:00:00,165.3525
2016-01-02 02:00:00,2016-01-02 02:00:00,171.205
2016-01-02 03:00:00,2016-01-02 03:00:00,166.475
2016-01-02 04:00:00,2016-01-02 04:00:00,200.0575
2016-01-02 05:00:00,2016-01-02 05:00:00,473.8975
2016-01-02 06:00:00,2016-01-02 06:00:00,394.3275
2016-01-02 07:00:00,2016-01-02 07:00:00,411.245
2016-01-02 08:00:00,2016-01-02 08:00:00,504.66
2016-01-02 09:00:00,2016-01-02 09:00:00,552.0775
2016-01-02 10:00:00,2016-01-02 10:00:00,599.6875
2016-01-02 11:00:00,2016-01-02 11:00:00,600.715
2016-01-02 12:00:00,2016-01-02 12:00:00,565.89
2016-01-02 13:00:00,2016-01-02 13:00:00,595.5475
2016-01-02 14:00:00,2016-01-02 14:00:00,593.535
2016-01-02 15:00:00,2016-01-02 15:00:00,564.1025
2016-01-02 16:00:00,2016-01-02 16:00:00,553.955
2016-01-02 17:00:00,2016-01-02 17:00:00,563.865
2016-01-02 18:00:00,2016-01-02 18:00:00,481.5125
2016-01-02 19:00:00,2016-01-02 19:00:00,430.145
2016-01-02 20:00:00,2016-01-02 20:00:00,435.2075
2016-01-02 21:00:00,2016-01-02 21:00:00,378.1525
2016-01-02 22:00:00,2016-01-02 22:00:00,183.345
2016-01-02 23:00:00,2016-01-02 23:00:00,173.47
2016-01-03 00:00:00,2016-01-03 00:00:00,189.0275
2016-01-03 01:00:00,2016-01-03 01:00:00,186.1825
2016-01-03 02:00:00,2016-01-03 02:00:00,196.085
2016-01-03 03:00:00,2016-01-03 03:00:00,207.5575
2016-01-03 04:00:00,2016-01-03 04:00:00,177.105
2016-01-03 05:00:00,2016-01-03 05:00:00,368.0475
2016-01-03 06:00:00,2016-01-03 06:00:00,442.275
2016-01-03 07:00:00,2016-01-03 07:00:00,419.1575
2016-01-03 08:00:00,2016-01-03 08:00:00,512.4825
2016-01-03 09:00:00,2016-01-03 09:00:00,556.7925
2016-01-03 10:00:00,2016-01-03 10:00:00,559.8275
2016-01-03 11:00:00,2016-01-03 11:00:00,561.77
2016-01-03 12:00:00,2016-01-03 12:00:00,548.115
2016-01-03 13:00:00,2016-01-03 13:00:00,601.22
2016-01-03 14:00:00,2016-01-03 14:00:00,579.92
2016-01-03 15:00:00,2016-01-03 15:00:00,560.0125
2016-01-03 16:00:00,2016-01-03 16:00:00,534.0125
2016-01-03 17:00:00,2016-01-03 17:00:00,530.505
2016-01-03 18:00:00,2016-01-03 18:00:00,484.4075
2016-01-03 19:00:00,2016-01-03 19:00:00,449.9525
2016-01-03 20:00:00,2016-01-03 20:00:00,458.1125
2016-01-03 21:00:00,2016-01-03 21:00:00,330.22
2016-01-03 22:00:00,2016-01-03 22:00:00,190.19
2016-01-03 23:00:00,2016-01-03 23:00:00,185.9475
2016-01-04 00:00:00,2016-01-04 00:00:00,147.99
2016-01-04 01:00:00,2016-01-04 01:00:00,147.6675
2016-01-04 02:00:00,2016-01-04 02:00:00,160.75
2016-01-04 03:00:00,2016-01-04 03:00:00,146.76
2016-01-04 04:00:00,2016-01-04 04:00:00,360.2675
2016-01-04 05:00:00,2016-01-04 05:00:00,398.315
2016-01-04 06:00:00,2016-01-04 06:00:00,393.785
2016-01-04 07:00:00,2016-01-04 07:00:00,491.42
2016-01-04 08:00:00,2016-01-04 08:00:00,560.575
2016-01-04 09:00:00,2016-01-04 09:00:00,554.5075
2016-01-04 10:00:00,2016-01-04 10:00:00,527.7225
2016-01-04 11:00:00,2016-01-04 11:00:00,490.91
2016-01-04 12:00:00,2016-01-04 12:00:00,549.4025
2016-01-04 13:00:00,2016-01-04 13:00:00,509.3775
2016-01-04 14:00:00,2016-01-04 14:00:00,453.1125
2016-01-04 15:00:00,2016-01-04 15:00:00,435.4775
2016-01-04 16:00:00,2016-01-04 16:00:00,407.975
2016-01-04 17:00:00,2016-01-04 17:00:00,329.9175
2016-01-04 18:00:00,2016-01-04 18:00:00,368.2475
2016-01-04 19:00:00,2016-01-04 19:00:00,342.9
2016-01-04 20:00:00,2016-01-04 20:00:00,253.475
2016-01-04 21:00:00,2016-01-04 21:00:00,161.3525
2016-01-04 22:00:00,2016-01-04 22:00:00,157.6325
2016-01-04 23:00:00,2016-01-04 23:00:00,145.365
2016-01-05 00:00:00,2016-01-05 00:00:00,149.7075
2016-01-05 01:00:00,2016-01-05 01:00:00,133.15
2016-01-05 02:00:00,2016-01-05 02:00:00,142.75
2016-01-05 03:00:00,2016-01-05 03:00:00,140.2275
2016-01-05 04:00:00,2016-01-05 04:00:00,152.545
2016-01-05 05:00:00,2016-01-05 05:00:00,135.3075
2016-01-05 06:00:00,2016-01-05 06:00:00,147.495
2016-01-05 07:00:00,2016-01-05 07:00:00,199.525
2016-01-05 08:00:00,2016-01-05 08:00:00,169.5875
2016-01-05 09:00:00,2016-01-05 09:00:00,164.3375
2016-01-05 10:00:00,2016-01-05 10:00:00,161.34
2016-01-05 11:00:00,2016-01-05 11:00:00,149.5575
2016-01-05 12:00:00,2016-01-05 12:00:00,163.215
2016-01-05 13:00:00,2016-01-05 13:00:00,152.055
2016-01-05 14:00:00,2016-01-05 14:00:00,143.315
2016-01-05 15:00:00,2016-01-05 15:00:00,151.0725
2016-01-05 16:00:00,2016-01-05 16:00:00,138.015
2016-01-05 17:00:00,2016-01-05 17:00:00,137.585
2016-01-05 18:00:00,2016-01-05 18:00:00,175.9175
2016-01-05 19:00:00,2016-01-05 19:00:00,137.9675
