timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,32.605
2016-01-01 01:00:00,2016-01-01 01:00:00,33.84
2016-01-01 02:00:00,2016-01-01 02:00:00,32.7625
2016-01-01 03:00:00,2016-01-01 03:00:00,32.34
2016-01-01 04:00:00,2016-01-01 04:00:00,32.4125
2016-01-01 05:00:00,2016-01-01 05:00:00,33.29
2016-01-01 06:00:00,2016-01-01 06:00:00,43.225
2016-01-01 07:00:00,2016-01-01 07:00:00,52.005
2016-01-01 08:00:00,2016-01-01 08:00:00,76.2325
2016-01-01 09:00:00,2016-01-01 09:00:00,78.475
2016-01-01 10:00:00,2016-01-01 10:00:00,77.16
2016-01-01 11:00:00,2016-01-01 11:00:00,77.515
2016-01-01 12:00:00,2016-01-01 12:00:00,77.43
2016-01-01 13:00:00,2016-01-01 13:00:00,77.255
2016-01-01 14:00:00,2016-01-01 14:00:00,77.705
2016-01-01 15:00:00,2016-01-01 15:00:00,77.4325
2016-01-01 16:00:00,2016-01-01 16:00:00,78.6
2016-01-01 17:00:00,2016-01-01 17:00:00,78.9425
2016-01-01 18:00:00,2016-01-01 18:00:00,78.8225
2016-01-01 19:00:00,2016-01-01 19:00:00,78.6825
2016-01-01 20:00:00,2016-01-01 20:00:00,78.7875
2016-01-01 21:00:00,2016-01-01 21:00:00,47.6725
2016-01-01 22:00:00,2016-01-01 22:00:00,32.81
2016-01-01 23:00:00,2016-01-01 23:00:00,32.8775
2016-01-02 00:00:00,2016-01-02 00:00:00,30.6025
2016-01-02 01:00:00,2016-01-02 01:00:00,30.1825
2016-01-02 02:00:00,2016-01-02 02:00:00,30.6475
2016-01-02 03:00:00,2016-01-02 03:00:00,30.0625
2016-01-02 04:00:00,2016-01-02 04:00:00,30.4125
2016-01-02 05:00:00,2016-01-02 05:00:00,31.71
2016-01-02 06:00:00,2016-01-02 06:00:00,77.155
2016-01-02 07:00:00,2016-01-02 07:00:00,112.9925
2016-01-02 08:00:00,2016-01-02 08:00:00,126.8325
2016-01-02 09:00:00,2016-01-02 09:00:00,138.6075
2016-01-02 10:00:00,2016-01-02 10:00:00,141.9925
2016-01-02 11:00:00,2016-01-02 11:00:00,141.605
2016-01-02 12:00:00,2016-01-02 12:00:00,148.8125
2016-01-02 13:00:00,2016-01-02 13:00:00,150.3775
2016-01-02 14:00:00,2016-01-02 14:00:00,144.8175
2016-01-02 15:00:00,2016-01-02 15:00:00,136.3125
2016-01-02 16:00:00,2016-01-02 16:00:00,137.345
2016-01-02 17:00:00,2016-01-02 17:00:00,124.16
2016-01-02 18:00:00,2016-01-02 18:00:00,110.8325
2016-01-02 19:00:00,2016-01-02 19:00:00,105.015
2016-01-02 20:00:00,2016-01-02 20:00:00,101.4875
2016-01-02 21:00:00,2016-01-02 21:00:00,78.495
2016-01-02 22:00:00,2016-01-02 22:00:00,37.435
2016-01-02 23:00:00,2016-01-02 23:00:00,31.99
2016-01-03 00:00:00,2016-01-03 00:00:00,28.79
2016-01-03 01:00:00,2016-01-03 01:00:00,28.15
2016-01-03 02:00:00,2016-01-03 02:00:00,27.4475
2016-01-03 03:00:00,2016-01-03 03:00:00,27.6025
2016-01-03 04:00:00,2016-01-03 04:00:00,27.6175
2016-01-03 05:00:00,2016-01-03 05:00:00,28.54
2016-01-03 06:00:00,2016-01-03 06:00:00,57.2425
2016-01-03 07:00:00,2016-01-03 07:00:00,80.22
2016-01-03 08:00:00,2016-01-03 08:00:00,128.385
2016-01-03 09:00:00,2016-01-03 09:00:00,144.83
2016-01-03 10:00:00,2016-01-03 10:00:00,149.185
2016-01-03 11:00:00,2016-01-03 11:00:00,146.4475
2016-01-03 12:00:00,2016-01-03 12:00:00,143.33
2016-01-03 13:00:00,2016-01-03 13:00:00,141.715
2016-01-03 14:00:00,2016-01-03 14:00:00,142.195
2016-01-03 15:00:00,2016-01-03 15:00:00,136.3525
2016-01-03 16:00:00,2016-01-03 16:00:00,132.125
2016-01-03 17:00:00,2016-01-03 17:00:00,122.9375
2016-01-03 18:00:00,2016-01-03 18:00:00,118.3075
2016-01-03 19:00:00,2016-01-03 19:00:00,107.8975
2016-01-03 20:00:00,2016-01-03 20:00:00,99.81
2016-01-03 21:00:00,2016-01-03 21:00:00,56.8625
2016-01-03 22:00:00,2016-01-03 22:00:00,36.92
2016-01-03 23:00:00,2016-01-03 23:00:00,34.12
2016-01-04 00:00:00,2016-01-04 00:00:00,30.9575
2016-01-04 01:00:00,2016-01-04 01:00:00,32.605
2016-01-04 02:00:00,2016-01-04 02:00:00,30.13
2016-01-04 03:00:00,2016-01-04 03:00:00,27.605
2016-01-04 04:00:00,2016-01-04 04:00:00,30.1375
2016-01-04 05:00:00,2016-01-04 05:00:00,56.0
2016-01-04 06:00:00,2016-01-04 06:00:00,70.87
2016-01-04 07:00:00,2016-01-04 07:00:00,134.685
2016-01-04 08:00:00,2016-01-04 08:00:00,146.575
2016-01-04 09:00:00,2016-01-04 09:00:00,147.085
2016-01-04 10:00:00,2016-01-04 10:00:00,139.7325
2016-01-04 11:00:00,2016-01-04 11:00:00,134.825
2016-01-04 12:00:00,2016-01-04 12:00:00,127.6325
2016-01-04 13:00:00,2016-01-04 13:00:00,135.85
2016-01-04 14:00:00,2016-01-04 14:00:00,133.585
2016-01-04 15:00:00,2016-01-04 15:00:00,114.7875
2016-01-04 16:00:00,2016-01-04 16:00:00,108.69
2016-01-04 17:00:00,2016-01-04 17:00:00,102.1425
2016-01-04 18:00:00,2016-01-04 18:00:00,91.835
2016-01-04 19:00:00,2016-01-04 19:00:00,84.515
2016-01-04 20:00:00,2016-01-04 20:00:00,50.6325
2016-01-04 21:00:00,2016-01-04 21:00:00,32.455
2016-01-04 22:00:00,2016-01-04 22:00:00,31.3625
2016-01-04 23:00:00,2016-01-04 23:00:00,27.975
2016-01-05 00:00:00,2016-01-05 00:00:00,23.3175
2016-01-05 01:00:00,2016-01-05 01:00:00,23.4325
2016-01-05 02:00:00,2016-01-05 02:00:00,23.1925
2016-01-05 03:00:00,2016-01-05 03:00:00,23.7775
2016-01-05 04:00:00,2016-01-05 04:00:00,25.11
2016-01-05 05:00:00,2016-01-05 05:00:00,21.685
2016-01-05 06:00:00,2016-01-05 06:00:00,21.5275
2016-01-05 07:00:00,2016-01-05 07:00:00,21.635
2016-01-05 08:00:00,2016-01-05 08:00:00,21.545
2016-01-05 09:00:00,2016-01-05 09:00:00,20.4625
2016-01-05 10:00:00,2016-01-05 10:00:00,19.2475
2016-01-05 11:00:00,2016-01-05 11:00:00,25.3775
2016-01-05 12:00:00,2016-01-05 12:00:00,27.07
2016-01-05 13:00:00,2016-01-05 13:00:00,21.2325
2016-01-05 14:00:00,2016-01-05 14:00:00,24.44
2016-01-05 15:00:00,2016-01-05 15:00:00,22.97
2016-01-05 16:00:00,2016-01-05 16:00:00,27.4175
2016-01-05 17:00:00,2016-01-05 17:00:00,32.445
2016-01-05 18:00:00,2016-01-05 18:00:00,28.4175
2016-01-05 19:00:00,2016-01-05 19:00:00,27.1425
2016-01-05 20:00:00,2016-01-05 20:00:00,27.2875
2016-01-05 21:00:00,2016-01-05 21:00:00,31.005
2016-01-05 22:00:00,2016-01-05 22:00:00,25.93
2016-01-05 23:00:00,2016-01-05 23:00:00,25.395
2016-01-06 00:00:00,2016-01-06 00:00:00,22.2075
2016-01-06 01:00:00,2016-01-06 01:00:00,22.3175
2016-01-06 02:00:00,2016-01-06 02:00:00,22.3625
2016-01-06 03:00:00,2016-01-06 03:00:00,22.1275
2016-01-06 04:00:00,2016-01-06 04:00:00,21.1225
2016-01-06 05:00:00,2016-01-06 05:00:00,54.77
2016-01-06 06:00:00,2016-01-06 06:00:00,68.9025
2016-01-06 07:00:00,2016-01-06 07:00:00,97.5575
2016-01-06 08:00:00,2016-01-06 08:00:00,103.795
2016-01-06 09:00:00,2016-01-06 09:00:00,102.0775
2016-01-06 10:00:00,2016-01-06 10:00:00,101.115
2016-01-06 11:00:00,2016-01-06 11:00:00,99.825
2016-01-06 12:00:00,2016-01-06 12:00:00,96.72
2016-01-06 13:00:00,2016-01-06 13:00:00,96.135
2016-01-06 14:00:00,2016-01-06 14:00:00,98.9825
2016-01-06 15:00:00,2016-01-06 15:00:00,97.095
2016-01-06 16:00:00,2016-01-06 16:00:00,92.0425
2016-01-06 17:00:00,2016-01-06 17:00:00,91.4475
2016-01-06 18:00:00,2016-01-06 18:00:00,89.9
2016-01-06 19:00:00,2016-01-06 19:00:00,82.475
2016-01-06 20:00:00,2016-01-06 20:00:00,49.3925
2016-01-06 21:00:00,2016-01-06 21:00:00,30.4475
2016-01-06 22:00:00,2016-01-06 22:00:00,27.0475
2016-01-06 23:00:00,2016-01-06 23:00:00,22.785
2016-01-07 00:00:00,2016-01-07 00:00:00,27.5525
2016-01-07 01:00:00,2016-01-07 01:00:00,27.525
2016-01-07 02:00:00,2016-01-07 02:00:00,27.31
2016-01-07 03:00:00,2016-01-07 03:00:00,27.5825
2016-01-07 04:00:00,2016-01-07 04:00:00,26.35
2016-01-07 05:00:00,2016-01-07 05:00:00,54.39
2016-01-07 06:00:00,2016-01-07 06:00:00,68.0325
2016-01-07 07:00:00,2016-01-07 07:00:00,96.3475
2016-01-07 08:00:00,2016-01-07 08:00:00,104.73
