timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,56.235
2016-01-01 01:00:00,2016-01-01 01:00:00,56.3275
2016-01-01 02:00:00,2016-01-01 02:00:00,56.4925
2016-01-01 03:00:00,2016-01-01 03:00:00,56.2675
2016-01-01 04:00:00,2016-01-01 04:00:00,56.1725
2016-01-01 05:00:00,2016-01-01 05:00:00,56.1825
2016-01-01 06:00:00,2016-01-01 06:00:00,56.385
2016-01-01 07:00:00,2016-01-01 07:00:00,58.2175
2016-01-01 08:00:00,2016-01-01 08:00:00,58.6625
2016-01-01 09:00:00,2016-01-01 09:00:00,58.49
2016-01-01 10:00:00,2016-01-01 10:00:00,58.0825
2016-01-01 11:00:00,2016-01-01 11:00:00,58.15
2016-01-01 12:00:00,2016-01-01 12:00:00,58.1075
2016-01-01 13:00:00,2016-01-01 13:00:00,58.36
2016-01-01 14:00:00,2016-01-01 14:00:00,58.2875
2016-01-01 15:00:00,2016-01-01 15:00:00,58.595
2016-01-01 16:00:00,2016-01-01 16:00:00,59.1125
2016-01-01 17:00:00,2016-01-01 17:00:00,58.9775
2016-01-01 18:00:00,2016-01-01 18:00:00,58.65
2016-01-01 19:00:00,2016-01-01 19:00:00,57.3225
2016-01-01 20:00:00,2016-01-01 20:00:00,56.875
2016-01-01 21:00:00,2016-01-01 21:00:00,57.0125
2016-01-01 22:00:00,2016-01-01 22:00:00,56.775
2016-01-01 23:00:00,2016-01-01 23:00:00,56.8925
2016-01-02 00:00:00,2016-01-02 00:00:00,67.25
2016-01-02 01:00:00,2016-01-02 01:00:00,67.73
2016-01-02 02:00:00,2016-01-02 02:00:00,67.5675
2016-01-02 03:00:00,2016-01-02 03:00:00,67.835
2016-01-02 04:00:00,2016-01-02 04:00:00,67.69
2016-01-02 05:00:00,2016-01-02 05:00:00,67.74
2016-01-02 06:00:00,2016-01-02 06:00:00,67.7225
2016-01-02 07:00:00,2016-01-02 07:00:00,70.35
2016-01-02 08:00:00,2016-01-02 08:00:00,73.2875
2016-01-02 09:00:00,2016-01-02 09:00:00,80.27
2016-01-02 10:00:00,2016-01-02 10:00:00,84.2025
2016-01-02 11:00:00,2016-01-02 11:00:00,88.46
2016-01-02 12:00:00,2016-01-02 12:00:00,88.9575
2016-01-02 13:00:00,2016-01-02 13:00:00,89.745
2016-01-02 14:00:00,2016-01-02 14:00:00,90.365
2016-01-02 15:00:00,2016-01-02 15:00:00,91.005
2016-01-02 16:00:00,2016-01-02 16:00:00,91.37
2016-01-02 17:00:00,2016-01-02 17:00:00,90.865
2016-01-02 18:00:00,2016-01-02 18:00:00,90.92
2016-01-02 19:00:00,2016-01-02 19:00:00,82.075
2016-01-02 20:00:00,2016-01-02 20:00:00,74.88
2016-01-02 21:00:00,2016-01-02 21:00:00,71.53
2016-01-02 22:00:00,2016-01-02 22:00:00,71.0025
2016-01-02 23:00:00,2016-01-02 23:00:00,69.77
2016-01-03 00:00:00,2016-01-03 00:00:00,73.2725
2016-01-03 01:00:00,2016-01-03 01:00:00,73.26
2016-01-03 02:00:00,2016-01-03 02:00:00,73.7675
2016-01-03 03:00:00,2016-01-03 03:00:00,75.2375
2016-01-03 04:00:00,2016-01-03 04:00:00,75.125
2016-01-03 05:00:00,2016-01-03 05:00:00,75.095
2016-01-03 06:00:00,2016-01-03 06:00:00,75.435
2016-01-03 07:00:00,2016-01-03 07:00:00,78.3675
2016-01-03 08:00:00,2016-01-03 08:00:00,83.1
2016-01-03 09:00:00,2016-01-03 09:00:00,87.4525
2016-01-03 10:00:00,2016-01-03 10:00:00,92.6025
2016-01-03 11:00:00,2016-01-03 11:00:00,95.0225
2016-01-03 12:00:00,2016-01-03 12:00:00,95.575
2016-01-03 13:00:00,2016-01-03 13:00:00,96.685
2016-01-03 14:00:00,2016-01-03 14:00:00,95.6675
2016-01-03 15:00:00,2016-01-03 15:00:00,97.685
2016-01-03 16:00:00,2016-01-03 16:00:00,99.595
2016-01-03 17:00:00,2016-01-03 17:00:00,97.525
2016-01-03 18:00:00,2016-01-03 18:00:00,95.19
2016-01-03 19:00:00,2016-01-03 19:00:00,89.3475
2016-01-03 20:00:00,2016-01-03 20:00:00,80.5975
2016-01-03 21:00:00,2016-01-03 21:00:00,77.4775
2016-01-03 22:00:00,2016-01-03 22:00:00,76.5175
2016-01-03 23:00:00,2016-01-03 23:00:00,75.0325
2016-01-04 00:00:00,2016-01-04 00:00:00,69.6075
2016-01-04 01:00:00,2016-01-04 01:00:00,69.8125
2016-01-04 02:00:00,2016-01-04 02:00:00,69.6075
2016-01-04 03:00:00,2016-01-04 03:00:00,69.8075
2016-01-04 04:00:00,2016-01-04 04:00:00,69.66
2016-01-04 05:00:00,2016-01-04 05:00:00,70.32
