timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,174.085
2016-01-01 01:00:00,2016-01-01 01:00:00,175.175
2016-01-01 02:00:00,2016-01-01 02:00:00,175.8725
2016-01-01 03:00:00,2016-01-01 03:00:00,169.0675
2016-01-01 04:00:00,2016-01-01 04:00:00,191.5025
2016-01-01 05:00:00,2016-01-01 05:00:00,196.39
2016-01-01 06:00:00,2016-01-01 06:00:00,188.3875
2016-01-01 07:00:00,2016-01-01 07:00:00,197.32
2016-01-01 08:00:00,2016-01-01 08:00:00,251.8425
2016-01-01 09:00:00,2016-01-01 09:00:00,263.855
2016-01-01 10:00:00,2016-01-01 10:00:00,262.625
2016-01-01 11:00:00,2016-01-01 11:00:00,262.7125
2016-01-01 12:00:00,2016-01-01 12:00:00,263.665
2016-01-01 13:00:00,2016-01-01 13:00:00,249.6225
2016-01-01 14:00:00,2016-01-01 14:00:00,252.38
2016-01-01 15:00:00,2016-01-01 15:00:00,253.88
2016-01-01 16:00:00,2016-01-01 16:00:00,248.7375
2016-01-01 17:00:00,2016-01-01 17:00:00,232.9525
2016-01-01 18:00:00,2016-01-01 18:00:00,184.0125
2016-01-01 19:00:00,2016-01-01 19:00:00,169.2375
2016-01-01 20:00:00,2016-01-01 20:00:00,162.6425
2016-01-01 21:00:00,2016-01-01 21:00:00,155.1325
2016-01-01 22:00:00,2016-01-01 22:00:00,152.555
2016-01-01 23:00:00,2016-01-01 23:00:00,151.18
2016-01-02 00:00:00,2016-01-02 00:00:00,157.12
2016-01-02 01:00:00,2016-01-02 01:00:00,158.79
2016-01-02 02:00:00,2016-01-02 02:00:00,156.5675
2016-01-02 03:00:00,2016-01-02 03:00:00,155.36
2016-01-02 04:00:00,2016-01-02 04:00:00,183.4075
2016-01-02 05:00:00,2016-01-02 05:00:00,185.825
2016-01-02 06:00:00,2016-01-02 06:00:00,179.285
2016-01-02 07:00:00,2016-01-02 07:00:00,252.38
2016-01-02 08:00:00,2016-01-02 08:00:00,330.2325
2016-01-02 09:00:00,2016-01-02 09:00:00,370.1975
2016-01-02 10:00:00,2016-01-02 10:00:00,380.8175
2016-01-02 11:00:00,2016-01-02 11:00:00,376.9975
2016-01-02 12:00:00,2016-01-02 12:00:00,392.6125
2016-01-02 13:00:00,2016-01-02 13:00:00,378.0325
2016-01-02 14:00:00,2016-01-02 14:00:00,373.52
2016-01-02 15:00:00,2016-01-02 15:00:00,366.84
2016-01-02 16:00:00,2016-01-02 16:00:00,344.955
2016-01-02 17:00:00,2016-01-02 17:00:00,317.7075
2016-01-02 18:00:00,2016-01-02 18:00:00,255.625
2016-01-02 19:00:00,2016-01-02 19:00:00,242.025
2016-01-02 20:00:00,2016-01-02 20:00:00,227.4
2016-01-02 21:00:00,2016-01-02 21:00:00,206.655
2016-01-02 22:00:00,2016-01-02 22:00:00,179.8875
2016-01-02 23:00:00,2016-01-02 23:00:00,176.5875
2016-01-03 00:00:00,2016-01-03 00:00:00,172.9975
2016-01-03 01:00:00,2016-01-03 01:00:00,167.065
2016-01-03 02:00:00,2016-01-03 02:00:00,161.0875
2016-01-03 03:00:00,2016-01-03 03:00:00,161.4625
2016-01-03 04:00:00,2016-01-03 04:00:00,190.23
2016-01-03 05:00:00,2016-01-03 05:00:00,189.075
2016-01-03 06:00:00,2016-01-03 06:00:00,196.3675
2016-01-03 07:00:00,2016-01-03 07:00:00,243.9475
2016-01-03 08:00:00,2016-01-03 08:00:00,328.445
2016-01-03 09:00:00,2016-01-03 09:00:00,381.0175
2016-01-03 10:00:00,2016-01-03 10:00:00,393.72
2016-01-03 11:00:00,2016-01-03 11:00:00,395.42
2016-01-03 12:00:00,2016-01-03 12:00:00,399.8125
2016-01-03 13:00:00,2016-01-03 13:00:00,388.485
2016-01-03 14:00:00,2016-01-03 14:00:00,382.455
2016-01-03 15:00:00,2016-01-03 15:00:00,376.525
2016-01-03 16:00:00,2016-01-03 16:00:00,373.1775
2016-01-03 17:00:00,2016-01-03 17:00:00,323.6575
