timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,131.445
2016-01-01 01:00:00,2016-01-01 01:00:00,132.055
2016-01-01 02:00:00,2016-01-01 02:00:00,130.175
2016-01-01 03:00:00,2016-01-01 03:00:00,134.9975
2016-01-01 04:00:00,2016-01-01 04:00:00,131.995
2016-01-01 05:00:00,2016-01-01 05:00:00,129.4225
2016-01-01 06:00:00,2016-01-01 06:00:00,132.105
2016-01-01 07:00:00,2016-01-01 07:00:00,139.505
2016-01-01 08:00:00,2016-01-01 08:00:00,140.825
2016-01-01 09:00:00,2016-01-01 09:00:00,138.205
2016-01-01 10:00:00,2016-01-01 10:00:00,142.6675
2016-01-01 11:00:00,2016-01-01 11:00:00,137.405
2016-01-01 12:00:00,2016-01-01 12:00:00,139.1875
2016-01-01 13:00:00,2016-01-01 13:00:00,143.8825
2016-01-01 14:00:00,2016-01-01 14:00:00,140.1875
2016-01-01 15:00:00,2016-01-01 15:00:00,137.975
2016-01-01 16:00:00,2016-01-01 16:00:00,137.71
2016-01-01 17:00:00,2016-01-01 17:00:00,136.0925
2016-01-01 18:00:00,2016-01-01 18:00:00,133.765
2016-01-01 19:00:00,2016-01-01 19:00:00,141.0975
2016-01-01 20:00:00,2016-01-01 20:00:00,133.805
2016-01-01 21:00:00,2016-01-01 21:00:00,132.7575
2016-01-01 22:00:00,2016-01-01 22:00:00,133.1825
2016-01-01 23:00:00,2016-01-01 23:00:00,133.2025
2016-01-02 00:00:00,2016-01-02 00:00:00,139.18
2016-01-02 01:00:00,2016-01-02 01:00:00,142.47
2016-01-02 02:00:00,2016-01-02 02:00:00,140.7775
2016-01-02 03:00:00,2016-01-02 03:00:00,140.6975
2016-01-02 04:00:00,2016-01-02 04:00:00,139.3925
2016-01-02 05:00:00,2016-01-02 05:00:00,138.2575
2016-01-02 06:00:00,2016-01-02 06:00:00,142.6075
2016-01-02 07:00:00,2016-01-02 07:00:00,154.91
2016-01-02 08:00:00,2016-01-02 08:00:00,161.4225
2016-01-02 09:00:00,2016-01-02 09:00:00,163.8625
2016-01-02 10:00:00,2016-01-02 10:00:00,169.1275
2016-01-02 11:00:00,2016-01-02 11:00:00,169.4125
2016-01-02 12:00:00,2016-01-02 12:00:00,169.6825
2016-01-02 13:00:00,2016-01-02 13:00:00,174.6225
2016-01-02 14:00:00,2016-01-02 14:00:00,172.3425
2016-01-02 15:00:00,2016-01-02 15:00:00,166.9725
2016-01-02 16:00:00,2016-01-02 16:00:00,167.4225
2016-01-02 17:00:00,2016-01-02 17:00:00,165.0675
2016-01-02 18:00:00,2016-01-02 18:00:00,156.2725
2016-01-02 19:00:00,2016-01-02 19:00:00,159.865
2016-01-02 20:00:00,2016-01-02 20:00:00,145.02
2016-01-02 21:00:00,2016-01-02 21:00:00,139.8625
2016-01-02 22:00:00,2016-01-02 22:00:00,134.9225
2016-01-02 23:00:00,2016-01-02 23:00:00,132.385
2016-01-03 00:00:00,2016-01-03 00:00:00,139.6975
2016-01-03 01:00:00,2016-01-03 01:00:00,141.0675
2016-01-03 02:00:00,2016-01-03 02:00:00,140.775
2016-01-03 03:00:00,2016-01-03 03:00:00,139.9625
2016-01-03 04:00:00,2016-01-03 04:00:00,138.2975
2016-01-03 05:00:00,2016-01-03 05:00:00,137.2625
2016-01-03 06:00:00,2016-01-03 06:00:00,140.495
2016-01-03 07:00:00,2016-01-03 07:00:00,149.5425
2016-01-03 08:00:00,2016-01-03 08:00:00,163.52
2016-01-03 09:00:00,2016-01-03 09:00:00,163.6125
2016-01-03 10:00:00,2016-01-03 10:00:00,165.8325
2016-01-03 11:00:00,2016-01-03 11:00:00,167.37
2016-01-03 12:00:00,2016-01-03 12:00:00,168.26
2016-01-03 13:00:00,2016-01-03 13:00:00,178.04
2016-01-03 14:00:00,2016-01-03 14:00:00,176.7125
2016-01-03 15:00:00,2016-01-03 15:00:00,171.315
2016-01-03 16:00:00,2016-01-03 16:00:00,168.915
2016-01-03 17:00:00,2016-01-03 17:00:00,164.565
2016-01-03 18:00:00,2016-01-03 18:00:00,157.875
2016-01-03 19:00:00,2016-01-03 19:00:00,159.2
2016-01-03 20:00:00,2016-01-03 20:00:00,149.18
2016-01-03 21:00:00,2016-01-03 21:00:00,141.58
2016-01-03 22:00:00,2016-01-03 22:00:00,136.245
2016-01-03 23:00:00,2016-01-03 23:00:00,131.1275
2016-01-04 00:00:00,2016-01-04 00:00:00,129.72
2016-01-04 01:00:00,2016-01-04 01:00:00,133.41
2016-01-04 02:00:00,2016-01-04 02:00:00,134.255
2016-01-04 03:00:00,2016-01-04 03:00:00,130.2025
2016-01-04 04:00:00,2016-01-04 04:00:00,128.655
2016-01-04 05:00:00,2016-01-04 05:00:00,132.4925
2016-01-04 06:00:00,2016-01-04 06:00:00,138.295
2016-01-04 07:00:00,2016-01-04 07:00:00,155.8725
2016-01-04 08:00:00,2016-01-04 08:00:00,158.8775
2016-01-04 09:00:00,2016-01-04 09:00:00,162.355
