timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,4.91
2016-01-01 01:00:00,2016-01-01 01:00:00,5.12
2016-01-01 02:00:00,2016-01-01 02:00:00,4.7325
2016-01-01 03:00:00,2016-01-01 03:00:00,6.6975
2016-01-01 04:00:00,2016-01-01 04:00:00,7.0
2016-01-01 05:00:00,2016-01-01 05:00:00,4.915
2016-01-01 06:00:00,2016-01-01 06:00:00,5.0425
2016-01-01 07:00:00,2016-01-01 07:00:00,6.9275
2016-01-01 08:00:00,2016-01-01 08:00:00,6.61
2016-01-01 09:00:00,2016-01-01 09:00:00,6.9475
2016-01-01 10:00:00,2016-01-01 10:00:00,5.665
2016-01-01 11:00:00,2016-01-01 11:00:00,5.71
2016-01-01 12:00:00,2016-01-01 12:00:00,5.5225
2016-01-01 13:00:00,2016-01-01 13:00:00,5.885
2016-01-01 14:00:00,2016-01-01 14:00:00,7.3275
2016-01-01 15:00:00,2016-01-01 15:00:00,8.2775
2016-01-01 16:00:00,2016-01-01 16:00:00,6.7675
2016-01-01 17:00:00,2016-01-01 17:00:00,6.3025
2016-01-01 18:00:00,2016-01-01 18:00:00,5.41
2016-01-01 19:00:00,2016-01-01 19:00:00,4.5825
2016-01-01 20:00:00,2016-01-01 20:00:00,4.34
2016-01-01 21:00:00,2016-01-01 21:00:00,4.5975
2016-01-01 22:00:00,2016-01-01 22:00:00,4.695
2016-01-01 23:00:00,2016-01-01 23:00:00,4.58
2016-01-02 00:00:00,2016-01-02 00:00:00,5.2475
2016-01-02 01:00:00,2016-01-02 01:00:00,5.23
2016-01-02 02:00:00,2016-01-02 02:00:00,5.55
2016-01-02 03:00:00,2016-01-02 03:00:00,5.3525
2016-01-02 04:00:00,2016-01-02 04:00:00,5.3725
2016-01-02 05:00:00,2016-01-02 05:00:00,6.725
2016-01-02 06:00:00,2016-01-02 06:00:00,9.63
2016-01-02 07:00:00,2016-01-02 07:00:00,12.3925
2016-01-02 08:00:00,2016-01-02 08:00:00,16.945
2016-01-02 09:00:00,2016-01-02 09:00:00,19.0525
2016-01-02 10:00:00,2016-01-02 10:00:00,25.2725
2016-01-02 11:00:00,2016-01-02 11:00:00,29.25
2016-01-02 12:00:00,2016-01-02 12:00:00,30.145
2016-01-02 13:00:00,2016-01-02 13:00:00,25.7625
2016-01-02 14:00:00,2016-01-02 14:00:00,22.915
2016-01-02 15:00:00,2016-01-02 15:00:00,23.8075
2016-01-02 16:00:00,2016-01-02 16:00:00,22.72
2016-01-02 17:00:00,2016-01-02 17:00:00,21.795
2016-01-02 18:00:00,2016-01-02 18:00:00,17.165
2016-01-02 19:00:00,2016-01-02 19:00:00,13.88
2016-01-02 20:00:00,2016-01-02 20:00:00,11.835
2016-01-02 21:00:00,2016-01-02 21:00:00,8.63
2016-01-02 22:00:00,2016-01-02 22:00:00,7.945
2016-01-02 23:00:00,2016-01-02 23:00:00,7.51
2016-01-03 00:00:00,2016-01-03 00:00:00,6.23
2016-01-03 01:00:00,2016-01-03 01:00:00,5.915
2016-01-03 02:00:00,2016-01-03 02:00:00,6.235
2016-01-03 03:00:00,2016-01-03 03:00:00,6.175
2016-01-03 04:00:00,2016-01-03 04:00:00,6.3325
2016-01-03 05:00:00,2016-01-03 05:00:00,7.1825
2016-01-03 06:00:00,2016-01-03 06:00:00,7.43
2016-01-03 07:00:00,2016-01-03 07:00:00,11.8325
2016-01-03 08:00:00,2016-01-03 08:00:00,15.8275
2016-01-03 09:00:00,2016-01-03 09:00:00,20.9725
2016-01-03 10:00:00,2016-01-03 10:00:00,21.5925
2016-01-03 11:00:00,2016-01-03 11:00:00,19.44
2016-01-03 12:00:00,2016-01-03 12:00:00,18.0875
2016-01-03 13:00:00,2016-01-03 13:00:00,18.6825
2016-01-03 14:00:00,2016-01-03 14:00:00,17.7375
2016-01-03 15:00:00,2016-01-03 15:00:00,19.595
2016-01-03 16:00:00,2016-01-03 16:00:00,16.895
2016-01-03 17:00:00,2016-01-03 17:00:00,15.9825
2016-01-03 18:00:00,2016-01-03 18:00:00,13.5825
2016-01-03 19:00:00,2016-01-03 19:00:00,12.945
2016-01-03 20:00:00,2016-01-03 20:00:00,9.765
2016-01-03 21:00:00,2016-01-03 21:00:00,7.2825
2016-01-03 22:00:00,2016-01-03 22:00:00,6.7075
2016-01-03 23:00:00,2016-01-03 23:00:00,7.765
2016-01-04 00:00:00,2016-01-04 00:00:00,7.3875
2016-01-04 01:00:00,2016-01-04 01:00:00,6.685
2016-01-04 02:00:00,2016-01-04 02:00:00,6.6125
2016-01-04 03:00:00,2016-01-04 03:00:00,6.6825
2016-01-04 04:00:00,2016-01-04 04:00:00,6.4575
2016-01-04 05:00:00,2016-01-04 05:00:00,6.6725
2016-01-04 06:00:00,2016-01-04 06:00:00,10.28
2016-01-04 07:00:00,2016-01-04 07:00:00,12.9175
2016-01-04 08:00:00,2016-01-04 08:00:00,18.695
2016-01-04 09:00:00,2016-01-04 09:00:00,20.39
2016-01-04 10:00:00,2016-01-04 10:00:00,23.9025
2016-01-04 11:00:00,2016-01-04 11:00:00,20.9025
2016-01-04 12:00:00,2016-01-04 12:00:00,20.9425
2016-01-04 13:00:00,2016-01-04 13:00:00,22.0175
2016-01-04 14:00:00,2016-01-04 14:00:00,20.33
2016-01-04 15:00:00,2016-01-04 15:00:00,17.28
2016-01-04 16:00:00,2016-01-04 16:00:00,15.575
2016-01-04 17:00:00,2016-01-04 17:00:00,11.775
2016-01-04 18:00:00,2016-01-04 18:00:00,10.31
2016-01-04 19:00:00,2016-01-04 19:00:00,9.2775
2016-01-04 20:00:00,2016-01-04 20:00:00,8.3225
2016-01-04 21:00:00,2016-01-04 21:00:00,6.665
2016-01-04 22:00:00,2016-01-04 22:00:00,6.105
2016-01-04 23:00:00,2016-01-04 23:00:00,6.1625
2016-01-05 00:00:00,2016-01-05 00:00:00,4.965
2016-01-05 01:00:00,2016-01-05 01:00:00,4.8375
2016-01-05 02:00:00,2016-01-05 02:00:00,5.0375
2016-01-05 03:00:00,2016-01-05 03:00:00,4.765
2016-01-05 04:00:00,2016-01-05 04:00:00,7.8025
2016-01-05 05:00:00,2016-01-05 05:00:00,8.2625
2016-01-05 06:00:00,2016-01-05 06:00:00,7.58
2016-01-05 07:00:00,2016-01-05 07:00:00,7.05
2016-01-05 08:00:00,2016-01-05 08:00:00,7.1375
2016-01-05 09:00:00,2016-01-05 09:00:00,7.4625
2016-01-05 10:00:00,2016-01-05 10:00:00,7.135
2016-01-05 11:00:00,2016-01-05 11:00:00,4.785
2016-01-05 12:00:00,2016-01-05 12:00:00,4.915
2016-01-05 13:00:00,2016-01-05 13:00:00,6.65
2016-01-05 14:00:00,2016-01-05 14:00:00,5.22
2016-01-05 15:00:00,2016-01-05 15:00:00,4.2275
2016-01-05 16:00:00,2016-01-05 16:00:00,4.815
2016-01-05 17:00:00,2016-01-05 17:00:00,7.5675
2016-01-05 18:00:00,2016-01-05 18:00:00,6.585
2016-01-05 19:00:00,2016-01-05 19:00:00,6.695
2016-01-05 20:00:00,2016-01-05 20:00:00,6.0475
2016-01-05 21:00:00,2016-01-05 21:00:00,5.285
2016-01-05 22:00:00,2016-01-05 22:00:00,5.0625
2016-01-05 23:00:00,2016-01-05 23:00:00,4.48
2016-01-06 00:00:00,2016-01-06 00:00:00,4.7
2016-01-06 01:00:00,2016-01-06 01:00:00,5.27
2016-01-06 02:00:00,2016-01-06 02:00:00,5.935
2016-01-06 03:00:00,2016-01-06 03:00:00,6.525
2016-01-06 04:00:00,2016-01-06 04:00:00,6.1075
2016-01-06 05:00:00,2016-01-06 05:00:00,5.835
2016-01-06 06:00:00,2016-01-06 06:00:00,7.4025
2016-01-06 07:00:00,2016-01-06 07:00:00,7.3425
2016-01-06 08:00:00,2016-01-06 08:00:00,9.24
2016-01-06 09:00:00,2016-01-06 09:00:00,10.3675
2016-01-06 10:00:00,2016-01-06 10:00:00,9.5475
2016-01-06 11:00:00,2016-01-06 11:00:00,9.5925
2016-01-06 12:00:00,2016-01-06 12:00:00,11.3475
2016-01-06 13:00:00,2016-01-06 13:00:00,11.305
2016-01-06 14:00:00,2016-01-06 14:00:00,9.4275
2016-01-06 15:00:00,2016-01-06 15:00:00,8.9525
2016-01-06 16:00:00,2016-01-06 16:00:00,7.035
2016-01-06 17:00:00,2016-01-06 17:00:00,5.595
2016-01-06 18:00:00,2016-01-06 18:00:00,4.6425
2016-01-06 19:00:00,2016-01-06 19:00:00,4.03
2016-01-06 20:00:00,2016-01-06 20:00:00,3.3525
2016-01-06 21:00:00,2016-01-06 21:00:00,4.0625
